subscription_id,user_id,start_date_key,end_date_key,plan_name,billing_cycle,status,monthly_price_usd,discount_usd,recognized_revenue_usd,cancellation_reason
48,1777,20250903,,Fan,Annual,Active,5.99,0.0,23.96,
49,1814,20230214,20230515,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
50,1851,20250414,,Premium,Monthly,Active,9.99,0.0,29.97,
51,1888,20230321,20230420,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
52,1925,20240907,20241206,Family,Annual,Cancelled,14.99,0.0,44.97,Low Usage
53,1962,20240201,,Premium,Monthly,Active,9.99,0.0,229.77,
54,1999,20250310,,Fan,Monthly,Active,5.99,1.2,43.11,
55,2036,20240403,,Family,Monthly,Active,14.99,0.0,44.97,
56,2073,20250524,,Premium,Annual,Active,9.99,0.0,69.93,
57,2110,20230630,20250629,Fan,Monthly,Cancelled,5.99,0.0,143.76,Price
58,2147,20240217,20240815,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
59,2184,20240716,,Premium,Monthly,Active,9.99,0.0,169.83,
60,2221,20230402,,Fan,Annual,Active,5.99,0.0,5.99,
61,2258,20230310,20240309,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
62,2295,20250319,20250915,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
63,2332,20231224,20241223,Fan,Monthly,Cancelled,5.99,1.2,57.48,Price
64,2369,20240703,20241230,Family,Annual,Cancelled,14.99,0.0,89.94,Low Usage
65,2406,20230109,,Premium,Monthly,Active,9.99,0.0,59.94,
66,2443,20231212,20240311,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
67,2480,20230913,20250912,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
68,2517,20240428,20250428,Premium,Annual,Cancelled,9.99,0.0,119.88,Low Usage
69,2554,20231118,20251117,Fan,Monthly,Cancelled,5.99,0.0,143.76,Price
70,2591,20250304,,Family,Monthly,Active,14.99,0.0,14.99,
71,2628,20240806,20240905,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
72,2665,20240108,,Fan,Annual,Active,5.99,1.2,114.96,
73,2702,20250502,,Family,Monthly,Active,14.99,0.0,119.92,
74,2739,20240326,20240425,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
75,2776,20241107,,Fan,Monthly,Active,5.99,0.0,5.99,
76,2813,20240211,,Family,Annual,Active,14.99,0.0,344.77,
77,2850,20230228,20230330,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
78,2887,20250117,20250216,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
79,2924,20240902,20250301,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
80,2961,20231226,,Premium,Annual,Active,9.99,0.0,9.99,
81,2998,20250101,,Fan,Monthly,Active,5.99,1.2,57.48,
82,3035,20230224,20250223,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
83,3072,20241011,,Premium,Monthly,Active,9.99,0.0,139.86,
84,3109,20241227,20250126,Fan,Annual,Cancelled,5.99,0.0,5.99,Price
85,3146,20241220,,Family,Monthly,Active,14.99,0.0,179.88,
86,3183,20230928,20240927,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
87,3220,20240124,,Fan,Monthly,Active,5.99,0.0,137.77,
88,3257,20231218,20240117,Family,Annual,Cancelled,14.99,0.0,14.99,Low Usage
89,3294,20250113,20250712,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
90,3331,20230721,,Fan,Monthly,Active,5.99,1.2,28.74,
91,3368,20241113,20241213,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
92,3405,20250112,20250412,Premium,Annual,Cancelled,9.99,0.0,29.97,Low Usage
93,3442,20230825,20240824,Fan,Monthly,Cancelled,5.99,0.0,71.88,Price
94,3479,20240322,,Family,Monthly,Active,14.99,0.0,314.79,
95,3516,20241104,,Premium,Monthly,Active,9.99,0.0,29.97,
96,3553,20250109,,Fan,Annual,Active,5.99,0.0,65.89,
97,3590,20250123,,Family,Monthly,Active,14.99,0.0,164.89,
98,3627,20240123,20240721,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
99,3664,20230129,20250128,Fan,Monthly,Cancelled,5.99,1.2,114.96,Price
100,3701,20240503,,Family,Annual,Active,14.99,0.0,179.88,
101,3738,20240110,,Premium,Monthly,Active,9.99,0.0,239.76,
102,3775,20250421,20251018,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
103,3812,20230825,20240221,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
104,3849,20230707,20250706,Premium,Annual,Cancelled,9.99,0.0,239.76,Low Usage
105,3886,20240201,,Fan,Monthly,Active,5.99,0.0,17.97,
106,3923,20230925,20231224,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
107,3960,20250719,20250818,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
108,3997,20241115,20251115,Fan,Annual,Cancelled,5.99,1.2,57.48,Price
109,4034,20230326,20230624,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
110,4071,20230518,,Premium,Monthly,Active,9.99,0.0,119.88,
111,4108,20231007,20240404,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
112,4145,20230409,20240408,Family,Annual,Cancelled,14.99,0.0,179.88,Low Usage
113,4182,20240401,20240630,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
114,4219,20250901,,Fan,Monthly,Active,5.99,0.0,23.96,
115,4256,20240203,,Family,Monthly,Active,14.99,0.0,14.99,
116,4293,20241114,20241214,Premium,Annual,Cancelled,9.99,0.0,9.99,Low Usage
117,4330,20250922,,Fan,Monthly,Active,5.99,1.2,14.37,
118,4367,20250215,20250814,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
119,4404,20240829,,Premium,Monthly,Active,9.99,0.0,159.84,
120,4441,20230802,,Fan,Annual,Active,5.99,0.0,71.88,
121,4478,20241001,20241230,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
122,4515,20251112,20251212,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
123,4552,20240303,20240601,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
124,4589,20240624,20240724,Family,Annual,Cancelled,14.99,0.0,14.99,Low Usage
125,4626,20230905,,Premium,Monthly,Active,9.99,0.0,29.97,
126,4663,20250811,,Fan,Monthly,Active,5.99,1.2,19.16,
127,4700,20230903,20240301,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
128,4737,20250812,,Premium,Annual,Active,9.99,0.0,39.96,
129,4774,20240724,20240823,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
130,4811,20231211,,Family,Monthly,Active,14.99,0.0,89.94,
131,4848,20240529,20240827,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
132,4885,20250727,20250826,Fan,Annual,Cancelled,5.99,0.0,5.99,Price
133,4922,20230722,20230821,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
134,4959,20230604,20230704,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
135,4996,20230116,,Fan,Monthly,Active,5.99,1.2,4.79,
136,5033,20240310,20240906,Family,Annual,Cancelled,14.99,0.0,89.94,Low Usage
137,5070,20231001,20240329,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
138,5107,20240527,20241123,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
139,5144,20250815,20250914,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
140,5181,20250311,,Premium,Annual,Active,9.99,0.0,29.97,
141,5218,20230307,20230406,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
142,5255,20250331,,Family,Monthly,Active,14.99,0.0,134.91,
143,5292,20251026,,Premium,Monthly,Active,9.99,0.0,19.98,
144,5329,20230107,20240107,Fan,Annual,Cancelled,5.99,1.2,57.48,Price
145,5366,20251024,,Family,Monthly,Active,14.99,0.0,29.98,
146,5403,20230728,20240727,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
147,5440,20231221,20251220,Fan,Monthly,Cancelled,5.99,0.0,143.76,Price
148,5477,20250412,20251009,Family,Annual,Cancelled,14.99,0.0,89.94,Low Usage
149,5514,20240522,20241118,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
150,5551,20240423,,Fan,Monthly,Active,5.99,0.0,35.94,
151,5588,20240721,,Family,Monthly,Active,14.99,0.0,254.83,
152,5625,20230209,20230808,Premium,Annual,Cancelled,9.99,0.0,59.94,Low Usage
153,5662,20240918,20241217,Fan,Monthly,Cancelled,5.99,1.2,14.37,Price
154,5699,20240312,20250312,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
155,5736,20230122,,Premium,Monthly,Active,9.99,0.0,9.99,
156,5773,20240918,20241217,Fan,Annual,Cancelled,5.99,0.0,17.97,Price
157,5810,20240519,20240618,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
158,5847,20250502,,Premium,Monthly,Active,9.99,0.0,79.92,
159,5884,20250413,,Fan,Monthly,Active,5.99,0.0,47.92,
160,5921,20231122,,Family,Annual,Active,14.99,0.0,89.94,
161,5958,20240826,20250222,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
162,5995,20240629,20250629,Fan,Monthly,Cancelled,5.99,1.2,57.48,Price
163,32,20230527,20231123,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
164,69,20240819,20240918,Premium,Annual,Cancelled,9.99,0.0,9.99,Low Usage
165,106,20230722,,Fan,Monthly,Active,5.99,0.0,5.99,
166,143,20251012,,Family,Monthly,Active,14.99,0.0,29.98,
167,180,20230504,20250503,Premium,Monthly,Cancelled,9.99,0.0,239.76,Low Usage
168,217,20230522,20250521,Fan,Annual,Cancelled,5.99,0.0,143.76,Price
169,254,20241115,,Family,Monthly,Active,14.99,0.0,194.87,
170,291,20241116,,Premium,Monthly,Active,9.99,0.0,59.94,
171,328,20250425,,Fan,Monthly,Active,5.99,1.2,38.32,
172,365,20240530,20240828,Family,Annual,Cancelled,14.99,0.0,44.97,Low Usage
173,402,20250328,,Premium,Monthly,Active,9.99,0.0,89.91,
174,439,20251006,,Fan,Monthly,Active,5.99,0.0,11.98,
175,476,20230124,,Family,Monthly,Active,14.99,0.0,359.76,
176,513,20240226,20250225,Premium,Annual,Cancelled,9.99,0.0,119.88,Low Usage
177,550,20251108,,Fan,Monthly,Active,5.99,0.0,5.99,
178,587,20230814,20230913,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
179,624,20250503,20250602,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
180,661,20240913,,Fan,Annual,Active,5.99,1.2,71.85,
181,698,20250221,20250522,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
182,735,20251016,20251115,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
183,772,20251024,,Fan,Monthly,Active,5.99,0.0,11.98,
184,809,20230617,20250616,Family,Annual,Cancelled,14.99,0.0,359.76,Low Usage
185,846,20250305,,Premium,Monthly,Active,9.99,0.0,29.97,
186,883,20241108,20241208,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
187,920,20230105,20230704,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
188,957,20250502,20250601,Premium,Annual,Cancelled,9.99,0.0,9.99,Low Usage
189,994,20251030,,Fan,Monthly,Active,5.99,1.2,9.58,
190,1031,20231015,,Family,Monthly,Active,14.99,0.0,44.97,
191,1068,20251008,,Premium,Monthly,Active,9.99,0.0,19.98,
192,1105,20230522,20230820,Fan,Annual,Cancelled,5.99,0.0,17.97,Price
193,1142,20240617,,Family,Monthly,Active,14.99,0.0,269.82,
194,1179,20241222,20251222,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
195,1216,20250703,,Fan,Monthly,Active,5.99,0.0,5.99,
196,1253,20230410,20230709,Family,Annual,Cancelled,14.99,0.0,44.97,Low Usage
197,1290,20240603,20250603,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
198,1327,20240604,,Fan,Monthly,Active,5.99,1.2,91.01,
199,1364,20230405,20230505,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
200,1401,20230529,,Premium,Annual,Active,9.99,0.0,239.76,
201,1438,20231130,20251129,Fan,Monthly,Cancelled,5.99,0.0,143.76,Price
202,1475,20240612,,Family,Monthly,Active,14.99,0.0,269.82,
203,1512,20241101,,Premium,Monthly,Active,9.99,0.0,139.86,
204,1549,20240130,20250129,Fan,Annual,Cancelled,5.99,0.0,71.88,Price
205,1586,20240530,,Family,Monthly,Active,14.99,0.0,89.94,
206,1623,20240426,20240526,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
207,1660,20251113,20251213,Fan,Monthly,Cancelled,5.99,1.2,4.79,Price
208,1697,20230620,20230918,Family,Annual,Cancelled,14.99,0.0,44.97,Low Usage
209,1734,20230826,20250825,Premium,Monthly,Cancelled,9.99,0.0,239.76,Low Usage
210,1771,20240515,,Fan,Monthly,Active,5.99,0.0,17.97,
211,1808,20240720,20250720,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
212,1845,20250924,,Premium,Annual,Active,9.99,0.0,29.97,
213,1882,20230301,20230530,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
214,1919,20241106,,Family,Monthly,Active,14.99,0.0,209.86,
215,1956,20240526,,Premium,Monthly,Active,9.99,0.0,29.97,
216,1993,20230710,20240106,Fan,Annual,Cancelled,5.99,1.2,28.74,Price
217,2030,20240614,20250614,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
218,2067,20230819,20240818,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
219,2104,20250109,20250409,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
220,2141,20230325,,Family,Annual,Active,14.99,0.0,89.94,
221,2178,20230421,20240420,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
222,2215,20230412,20230711,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
223,2252,20250602,20250831,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
224,2289,20240526,20240625,Premium,Annual,Cancelled,9.99,0.0,9.99,Low Usage
225,2326,20250405,,Fan,Monthly,Active,5.99,1.2,28.74,
226,2363,20230828,20240827,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
227,2400,20231104,20251103,Premium,Monthly,Cancelled,9.99,0.0,239.76,Low Usage
228,2437,20240114,,Fan,Annual,Active,5.99,0.0,137.77,
229,2474,20230103,20230403,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
230,2511,20230927,,Premium,Monthly,Active,9.99,0.0,239.76,
231,2548,20240310,20240906,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
232,2585,20250826,,Family,Annual,Active,14.99,0.0,59.96,
233,2622,20230117,20230716,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
234,2659,20230530,20250529,Fan,Monthly,Cancelled,5.99,1.2,114.96,Price
235,2696,20230916,,Family,Monthly,Active,14.99,0.0,14.99,
236,2733,20240917,20250917,Premium,Annual,Cancelled,9.99,0.0,119.88,Low Usage
237,2770,20240905,20250304,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
238,2807,20240322,20240620,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
239,2844,20230709,20231007,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
240,2881,20241003,,Fan,Annual,Active,5.99,0.0,17.97,
241,2918,20250530,20251126,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
242,2955,20250405,,Premium,Monthly,Active,9.99,0.0,89.91,
243,2992,20240706,20250102,Fan,Monthly,Cancelled,5.99,1.2,28.74,Price
244,3029,20240114,20250113,Family,Annual,Cancelled,14.99,0.0,179.88,Low Usage
245,3066,20240428,,Premium,Monthly,Active,9.99,0.0,9.99,
246,3103,20241212,20250111,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
247,3140,20230403,20250402,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
248,3177,20250414,,Premium,Annual,Active,9.99,0.0,79.92,
249,3214,20250102,,Fan,Monthly,Active,5.99,0.0,71.88,
250,3251,20230429,,Family,Monthly,Active,14.99,0.0,359.76,
251,3288,20240513,20240811,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
252,3325,20230913,20231212,Fan,Annual,Cancelled,5.99,1.2,14.37,Price
253,3362,20250322,20250620,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
254,3399,20240613,20240911,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
255,3436,20230309,,Fan,Monthly,Active,5.99,0.0,5.99,
256,3473,20231025,20240422,Family,Annual,Cancelled,14.99,0.0,89.94,Low Usage
257,3510,20230410,20240409,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
258,3547,20230516,20230814,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
259,3584,20250927,,Family,Monthly,Active,14.99,0.0,44.97,
260,3621,20230715,,Premium,Annual,Active,9.99,0.0,59.94,
261,3658,20230813,20230912,Fan,Monthly,Cancelled,5.99,1.2,4.79,Price
262,3695,20250227,20250826,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
263,3732,20230131,20230302,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
264,3769,20240215,,Fan,Annual,Active,5.99,0.0,131.78,
265,3806,20240106,,Family,Monthly,Active,14.99,0.0,44.97,
266,3843,20250407,20250507,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
267,3880,20231122,20251121,Fan,Monthly,Cancelled,5.99,0.0,143.76,Price
268,3917,20240427,20250427,Family,Annual,Cancelled,14.99,0.0,179.88,Low Usage
269,3954,20240417,20240716,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
270,3991,20240813,,Fan,Monthly,Active,5.99,1.2,76.64,
271,4028,20240808,20250204,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
272,4065,20230409,20250408,Premium,Annual,Cancelled,9.99,0.0,239.76,Low Usage
273,4102,20250212,,Fan,Monthly,Active,5.99,0.0,59.9,
274,4139,20241230,20250129,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
275,4176,20240214,,Premium,Monthly,Active,9.99,0.0,59.94,
276,4213,20240430,20240729,Fan,Annual,Cancelled,5.99,0.0,17.97,Price
277,4250,20250623,,Family,Monthly,Active,14.99,0.0,89.94,
278,4287,20240731,20240830,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
279,4324,20250430,,Fan,Monthly,Active,5.99,1.2,38.32,
280,4361,20250820,,Family,Annual,Active,14.99,0.0,59.96,
281,4398,20230204,20230306,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
282,4435,20231002,20251001,Fan,Monthly,Cancelled,5.99,0.0,143.76,Price
283,4472,20250219,20250818,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
284,4509,20230311,20230907,Premium,Annual,Cancelled,9.99,0.0,59.94,Low Usage
285,4546,20241021,,Fan,Monthly,Active,5.99,0.0,5.99,
286,4583,20231220,20251219,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
287,4620,20251010,,Premium,Monthly,Active,9.99,0.0,19.98,
288,4657,20250719,,Fan,Annual,Active,5.99,1.2,23.95,
289,4694,20240527,20250527,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
290,4731,20250726,,Premium,Monthly,Active,9.99,0.0,29.97,
291,4768,20241206,20250306,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
292,4805,20230813,20240812,Family,Annual,Cancelled,14.99,0.0,179.88,Low Usage
293,4842,20251101,,Premium,Monthly,Active,9.99,0.0,19.98,
294,4879,20240722,20250118,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
295,4916,20250811,,Family,Monthly,Active,14.99,0.0,44.97,
296,4953,20230221,20230820,Premium,Annual,Cancelled,9.99,0.0,59.94,Low Usage
297,4990,20241014,20251014,Fan,Monthly,Cancelled,5.99,1.2,57.48,Price
298,5027,20230626,20250625,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
299,5064,20250725,20251023,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
300,5101,20230627,,Fan,Annual,Active,5.99,0.0,5.99,
301,5138,20241112,20250210,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
302,5175,20250508,,Premium,Monthly,Active,9.99,0.0,69.93,
303,5212,20251021,,Fan,Monthly,Active,5.99,0.0,11.98,
304,5249,20230201,20240201,Family,Annual,Cancelled,14.99,0.0,179.88,Low Usage
305,5286,20240514,,Premium,Monthly,Active,9.99,0.0,29.97,
306,5323,20240628,20240728,Fan,Monthly,Cancelled,5.99,1.2,4.79,Price
307,5360,20240519,20241115,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
308,5397,20231012,20241011,Premium,Annual,Cancelled,9.99,0.0,119.88,Low Usage
309,5434,20230916,20240314,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
310,5471,20241221,,Family,Monthly,Active,14.99,0.0,179.88,
311,5508,20240729,20241027,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
312,5545,20250520,,Fan,Annual,Active,5.99,0.0,41.93,
313,5582,20230204,20240204,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
314,5619,20230731,20250730,Premium,Monthly,Cancelled,9.99,0.0,239.76,Low Usage
315,5656,20240301,,Fan,Monthly,Active,5.99,1.2,14.37,
316,5693,20240705,20250705,Family,Annual,Cancelled,14.99,0.0,179.88,Low Usage
317,5730,20250316,20250614,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
318,5767,20250215,,Fan,Monthly,Active,5.99,0.0,59.9,
319,5804,20250829,20251127,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
320,5841,20250917,,Premium,Annual,Active,9.99,0.0,29.97,
321,5878,20251007,,Fan,Monthly,Active,5.99,0.0,11.98,
322,5915,20251112,20251212,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
323,5952,20241220,,Premium,Monthly,Active,9.99,0.0,119.88,
324,5989,20241020,20251020,Fan,Annual,Cancelled,5.99,1.2,57.48,Price
325,26,20241126,,Family,Monthly,Active,14.99,0.0,44.97,
326,63,20240816,20241114,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
327,100,20240822,20250218,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
328,137,20240820,20250216,Family,Annual,Cancelled,14.99,0.0,89.94,Low Usage
329,174,20230704,20230803,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
330,211,20250710,,Fan,Monthly,Active,5.99,0.0,29.95,
331,248,20250921,20251220,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
332,285,20240808,20241106,Premium,Annual,Cancelled,9.99,0.0,29.97,Low Usage
333,322,20231120,20251119,Fan,Monthly,Cancelled,5.99,1.2,114.96,Price
334,359,20230624,20250623,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
335,396,20250319,,Premium,Monthly,Active,9.99,0.0,59.94,
336,433,20250129,20250728,Fan,Annual,Cancelled,5.99,0.0,35.94,Price
337,470,20240910,20250309,Family,Monthly,Cancelled,14.99,0.0,89.94,Low Usage
338,507,20250831,20250930,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
339,544,20240108,20240207,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
340,581,20230908,,Family,Annual,Active,14.99,0.0,359.76,
341,618,20241223,20250323,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
342,655,20230119,20230419,Fan,Monthly,Cancelled,5.99,1.2,14.37,Price
343,692,20250320,20250618,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
