episode_id,anime_id,season_number,episode_number,episode_title,release_date_key,duration_seconds,is_filler
33,3,1,1,Episode 01: Chapter 5,20230221,1376,0
34,3,1,2,Episode 02: Chapter 6,20230228,1393,0
35,3,1,3,Episode 03: Chapter 7,20230307,1410,0
36,3,1,4,Episode 04: Chapter 8,20230314,1427,0
37,3,1,5,Episode 05: Chapter 9,20230321,1444,0
38,3,1,6,Episode 06: Chapter 10,20230328,1461,0
39,3,1,7,Episode 07: Chapter 11,20230404,1478,0
40,3,1,8,Episode 08: Chapter 12,20230411,1495,0
41,3,1,9,Episode 09: Chapter 13,20230418,1512,0
42,3,1,10,Episode 10: Chapter 14,20230425,1529,0
43,3,1,11,Episode 11: Chapter 15,20230502,1546,0
44,3,1,12,Episode 12: Chapter 16,20230509,1563,0
45,3,2,1,Episode 13: Chapter 17,20230516,1580,0
46,3,2,2,Episode 14: Chapter 18,20230523,1597,1
47,3,2,3,Episode 15: Chapter 19,20230530,1614,0
48,3,2,4,Episode 16: Chapter 20,20230606,1631,0
49,4,1,1,Episode 01: Chapter 6,20230310,1389,0
50,4,1,2,Episode 02: Chapter 7,20230317,1406,0
51,4,1,3,Episode 03: Chapter 8,20230324,1423,0
52,4,1,4,Episode 04: Chapter 9,20230331,1440,0
53,4,1,5,Episode 05: Chapter 10,20230407,1457,0
54,4,1,6,Episode 06: Chapter 11,20230414,1474,0
55,4,1,7,Episode 07: Chapter 12,20230421,1491,0
56,4,1,8,Episode 08: Chapter 13,20230428,1508,0
57,4,1,9,Episode 09: Chapter 14,20230505,1525,0
58,4,1,10,Episode 10: Chapter 15,20230512,1542,0
59,4,1,11,Episode 11: Chapter 16,20230519,1559,0
60,4,1,12,Episode 12: Chapter 17,20230526,1576,0
61,4,2,1,Episode 13: Chapter 18,20230602,1593,1
62,4,2,2,Episode 14: Chapter 19,20230609,1610,0
63,4,2,3,Episode 15: Chapter 20,20230616,1627,0
64,4,2,4,Episode 16: Chapter 21,20230623,1644,0
65,5,1,1,Episode 01: Chapter 7,20230327,1402,0
66,5,1,2,Episode 02: Chapter 8,20230403,1419,0
67,5,1,3,Episode 03: Chapter 9,20230410,1436,0
68,5,1,4,Episode 04: Chapter 10,20230417,1453,0
69,5,1,5,Episode 05: Chapter 11,20230424,1470,0
70,5,1,6,Episode 06: Chapter 12,20230501,1487,0
71,5,1,7,Episode 07: Chapter 13,20230508,1504,0
72,5,1,8,Episode 08: Chapter 14,20230515,1521,0
73,5,1,9,Episode 09: Chapter 15,20230522,1538,0
74,5,1,10,Episode 10: Chapter 16,20230529,1555,0
75,5,1,11,Episode 11: Chapter 17,20230605,1572,0
76,5,1,12,Episode 12: Chapter 18,20230612,1589,1
77,5,2,1,Episode 13: Chapter 19,20230619,1606,0
78,5,2,2,Episode 14: Chapter 20,20230626,1623,0
79,5,2,3,Episode 15: Chapter 21,20230703,1640,0
80,5,2,4,Episode 16: Chapter 22,20230710,1657,0
81,6,1,1,Episode 01: Chapter 8,20230413,1415,0
82,6,1,2,Episode 02: Chapter 9,20230420,1432,0
83,6,1,3,Episode 03: Chapter 10,20230427,1449,0
84,6,1,4,Episode 04: Chapter 11,20230504,1466,0
85,6,1,5,Episode 05: Chapter 12,20230511,1483,0
86,6,1,6,Episode 06: Chapter 13,20230518,1500,0
87,6,1,7,Episode 07: Chapter 14,20230525,1517,0
88,6,1,8,Episode 08: Chapter 15,20230601,1534,0
89,6,1,9,Episode 09: Chapter 16,20230608,1551,0
90,6,1,10,Episode 10: Chapter 17,20230615,1568,0
91,6,1,11,Episode 11: Chapter 18,20230622,1585,1
92,6,1,12,Episode 12: Chapter 19,20230629,1602,0
93,6,2,1,Episode 13: Chapter 20,20230706,1619,0
94,6,2,2,Episode 14: Chapter 21,20230713,1636,0
95,6,2,3,Episode 15: Chapter 22,20230720,1653,0
96,6,2,4,Episode 16: Chapter 23,20230727,1670,0
97,7,1,1,Episode 01: Chapter 9,20230430,1428,0
98,7,1,2,Episode 02: Chapter 10,20230507,1445,0
99,7,1,3,Episode 03: Chapter 11,20230514,1462,0
100,7,1,4,Episode 04: Chapter 12,20230521,1479,0
101,7,1,5,Episode 05: Chapter 13,20230528,1496,0
102,7,1,6,Episode 06: Chapter 14,20230604,1513,0
103,7,1,7,Episode 07: Chapter 15,20230611,1530,0
104,7,1,8,Episode 08: Chapter 16,20230618,1547,0
105,7,1,9,Episode 09: Chapter 17,20230625,1564,0
106,7,1,10,Episode 10: Chapter 18,20230702,1581,1
107,7,1,11,Episode 11: Chapter 19,20230709,1598,0
108,7,1,12,Episode 12: Chapter 20,20230716,1615,0
109,7,2,1,Episode 13: Chapter 21,20230723,1632,0
110,7,2,2,Episode 14: Chapter 22,20230730,1649,0
111,7,2,3,Episode 15: Chapter 23,20230806,1666,0
112,7,2,4,Episode 16: Chapter 24,20230813,1323,0
113,8,1,1,Episode 01: Chapter 10,20230517,1441,0
114,8,1,2,Episode 02: Chapter 11,20230524,1458,0
115,8,1,3,Episode 03: Chapter 12,20230531,1475,0
116,8,1,4,Episode 04: Chapter 13,20230607,1492,0
117,8,1,5,Episode 05: Chapter 14,20230614,1509,0
118,8,1,6,Episode 06: Chapter 15,20230621,1526,0
119,8,1,7,Episode 07: Chapter 16,20230628,1543,0
120,8,1,8,Episode 08: Chapter 17,20230705,1560,0
121,8,1,9,Episode 09: Chapter 18,20230712,1577,1
122,8,1,10,Episode 10: Chapter 19,20230719,1594,0
123,8,1,11,Episode 11: Chapter 20,20230726,1611,0
124,8,1,12,Episode 12: Chapter 21,20230802,1628,0
125,8,2,1,Episode 13: Chapter 22,20230809,1645,0
126,8,2,2,Episode 14: Chapter 23,20230816,1662,0
127,8,2,3,Episode 15: Chapter 24,20230823,1679,0
128,8,2,4,Episode 16: Chapter 25,20230830,1336,0
129,9,1,1,Episode 01: Chapter 11,20230603,1454,0
130,9,1,2,Episode 02: Chapter 12,20230610,1471,0
131,9,1,3,Episode 03: Chapter 13,20230617,1488,0
132,9,1,4,Episode 04: Chapter 14,20230624,1505,0
133,9,1,5,Episode 05: Chapter 15,20230701,1522,0
134,9,1,6,Episode 06: Chapter 16,20230708,1539,0
135,9,1,7,Episode 07: Chapter 17,20230715,1556,0
136,9,1,8,Episode 08: Chapter 18,20230722,1573,1
137,9,1,9,Episode 09: Chapter 19,20230729,1590,0
138,9,1,10,Episode 10: Chapter 20,20230805,1607,0
139,9,1,11,Episode 11: Chapter 21,20230812,1624,0
140,9,1,12,Episode 12: Chapter 22,20230819,1641,0
141,9,2,1,Episode 13: Chapter 23,20230826,1658,0
142,9,2,2,Episode 14: Chapter 24,20230902,1675,0
143,9,2,3,Episode 15: Chapter 25,20230909,1332,0
144,9,2,4,Episode 16: Chapter 26,20230916,1349,0
145,10,1,1,Episode 01: Chapter 12,20230620,1467,0
146,10,1,2,Episode 02: Chapter 13,20230627,1484,0
147,10,1,3,Episode 03: Chapter 14,20230704,1501,0
148,10,1,4,Episode 04: Chapter 15,20230711,1518,0
149,10,1,5,Episode 05: Chapter 16,20230718,1535,0
150,10,1,6,Episode 06: Chapter 17,20230725,1552,0
151,10,1,7,Episode 07: Chapter 18,20230801,1569,1
152,10,1,8,Episode 08: Chapter 19,20230808,1586,0
153,10,1,9,Episode 09: Chapter 20,20230815,1603,0
154,10,1,10,Episode 10: Chapter 21,20230822,1620,0
155,10,1,11,Episode 11: Chapter 22,20230829,1637,0
156,10,1,12,Episode 12: Chapter 23,20230905,1654,0
157,10,2,1,Episode 13: Chapter 24,20230912,1671,0
158,10,2,2,Episode 14: Chapter 25,20230919,1328,0
159,10,2,3,Episode 15: Chapter 26,20230926,1345,0
160,10,2,4,Episode 16: Chapter 27,20231003,1362,0
161,11,1,1,Episode 01: Chapter 13,20230707,1480,0
162,11,1,2,Episode 02: Chapter 14,20230714,1497,0
163,11,1,3,Episode 03: Chapter 15,20230721,1514,0
164,11,1,4,Episode 04: Chapter 16,20230728,1531,0
165,11,1,5,Episode 05: Chapter 17,20230804,1548,0
166,11,1,6,Episode 06: Chapter 18,20230811,1565,1
167,11,1,7,Episode 07: Chapter 19,20230818,1582,0
168,11,1,8,Episode 08: Chapter 20,20230825,1599,0
169,11,1,9,Episode 09: Chapter 21,20230901,1616,0
170,11,1,10,Episode 10: Chapter 22,20230908,1633,0
171,11,1,11,Episode 11: Chapter 23,20230915,1650,0
172,11,1,12,Episode 12: Chapter 24,20230922,1667,0
173,11,2,1,Episode 13: Chapter 25,20230929,1324,0
174,11,2,2,Episode 14: Chapter 26,20231006,1341,0
175,11,2,3,Episode 15: Chapter 27,20231013,1358,0
176,11,2,4,Episode 16: Chapter 28,20231020,1375,0
177,12,1,1,Episode 01: Chapter 14,20230724,1493,0
178,12,1,2,Episode 02: Chapter 15,20230731,1510,0
179,12,1,3,Episode 03: Chapter 16,20230807,1527,0
180,12,1,4,Episode 04: Chapter 17,20230814,1544,0
181,12,1,5,Episode 05: Chapter 18,20230821,1561,1
182,12,1,6,Episode 06: Chapter 19,20230828,1578,0
183,12,1,7,Episode 07: Chapter 20,20230904,1595,0
184,12,1,8,Episode 08: Chapter 21,20230911,1612,0
185,12,1,9,Episode 09: Chapter 22,20230918,1629,0
186,12,1,10,Episode 10: Chapter 23,20230925,1646,0
187,12,1,11,Episode 11: Chapter 24,20231002,1663,0
188,12,1,12,Episode 12: Chapter 25,20231009,1320,0
189,12,2,1,Episode 13: Chapter 26,20231016,1337,0
190,12,2,2,Episode 14: Chapter 27,20231023,1354,0
191,12,2,3,Episode 15: Chapter 28,20231030,1371,0
192,12,2,4,Episode 16: Chapter 29,20231106,1388,0
193,13,1,1,Episode 01: Chapter 15,20230810,1506,0
194,13,1,2,Episode 02: Chapter 16,20230817,1523,0
195,13,1,3,Episode 03: Chapter 17,20230824,1540,0
196,13,1,4,Episode 04: Chapter 18,20230831,1557,1
197,13,1,5,Episode 05: Chapter 19,20230907,1574,0
198,13,1,6,Episode 06: Chapter 20,20230914,1591,0
199,13,1,7,Episode 07: Chapter 21,20230921,1608,0
200,13,1,8,Episode 08: Chapter 22,20230928,1625,0
201,13,1,9,Episode 09: Chapter 23,20231005,1642,0
202,13,1,10,Episode 10: Chapter 24,20231012,1659,0
203,13,1,11,Episode 11: Chapter 25,20231019,1676,0
204,13,1,12,Episode 12: Chapter 26,20231026,1333,0
205,13,2,1,Episode 13: Chapter 27,20231102,1350,0
206,13,2,2,Episode 14: Chapter 28,20231109,1367,0
207,13,2,3,Episode 15: Chapter 29,20231116,1384,0
208,13,2,4,Episode 16: Chapter 30,20231123,1401,0
209,14,1,1,Episode 01: Chapter 16,20230827,1519,0
210,14,1,2,Episode 02: Chapter 17,20230903,1536,0
211,14,1,3,Episode 03: Chapter 18,20230910,1553,1
212,14,1,4,Episode 04: Chapter 19,20230917,1570,0
213,14,1,5,Episode 05: Chapter 20,20230924,1587,0
214,14,1,6,Episode 06: Chapter 21,20231001,1604,0
215,14,1,7,Episode 07: Chapter 22,20231008,1621,0
216,14,1,8,Episode 08: Chapter 23,20231015,1638,0
217,14,1,9,Episode 09: Chapter 24,20231022,1655,0
218,14,1,10,Episode 10: Chapter 25,20231029,1672,0
219,14,1,11,Episode 11: Chapter 26,20231105,1329,0
220,14,1,12,Episode 12: Chapter 27,20231112,1346,0
221,14,2,1,Episode 13: Chapter 28,20231119,1363,0
222,14,2,2,Episode 14: Chapter 29,20231126,1380,0
223,14,2,3,Episode 15: Chapter 30,20231203,1397,0
224,14,2,4,Episode 16: Chapter 31,20231210,1414,0
225,15,1,1,Episode 01: Chapter 17,20230913,1532,0
226,15,1,2,Episode 02: Chapter 18,20230920,1549,1
227,15,1,3,Episode 03: Chapter 19,20230927,1566,0
228,15,1,4,Episode 04: Chapter 20,20231004,1583,0
229,15,1,5,Episode 05: Chapter 21,20231011,1600,0
230,15,1,6,Episode 06: Chapter 22,20231018,1617,0
231,15,1,7,Episode 07: Chapter 23,20231025,1634,0
232,15,1,8,Episode 08: Chapter 24,20231101,1651,0
233,15,1,9,Episode 09: Chapter 25,20231108,1668,0
234,15,1,10,Episode 10: Chapter 26,20231115,1325,0
235,15,1,11,Episode 11: Chapter 27,20231122,1342,0
236,15,1,12,Episode 12: Chapter 28,20231129,1359,0
237,15,2,1,Episode 13: Chapter 29,20231206,1376,0
238,15,2,2,Episode 14: Chapter 30,20231213,1393,0
239,15,2,3,Episode 15: Chapter 31,20231220,1410,0
240,15,2,4,Episode 16: Chapter 1,20231227,1427,0
241,16,1,1,Episode 01: Chapter 18,20230930,1545,1
242,16,1,2,Episode 02: Chapter 19,20231007,1562,0
243,16,1,3,Episode 03: Chapter 20,20231014,1579,0
244,16,1,4,Episode 04: Chapter 21,20231021,1596,0
245,16,1,5,Episode 05: Chapter 22,20231028,1613,0
246,16,1,6,Episode 06: Chapter 23,20231104,1630,0
247,16,1,7,Episode 07: Chapter 24,20231111,1647,0
248,16,1,8,Episode 08: Chapter 25,20231118,1664,0
249,16,1,9,Episode 09: Chapter 26,20231125,1321,0
250,16,1,10,Episode 10: Chapter 27,20231202,1338,0
251,16,1,11,Episode 11: Chapter 28,20231209,1355,0
252,16,1,12,Episode 12: Chapter 29,20231216,1372,0
253,16,2,1,Episode 13: Chapter 30,20231223,1389,0
254,16,2,2,Episode 14: Chapter 31,20231230,1406,0
255,16,2,3,Episode 15: Chapter 1,20240106,1423,0
256,16,2,4,Episode 16: Chapter 2,20240113,1440,0
257,17,1,1,Episode 01: Chapter 19,20231017,1558,0
258,17,1,2,Episode 02: Chapter 20,20231024,1575,0
259,17,1,3,Episode 03: Chapter 21,20231031,1592,0
260,17,1,4,Episode 04: Chapter 22,20231107,1609,0
261,17,1,5,Episode 05: Chapter 23,20231114,1626,0
262,17,1,6,Episode 06: Chapter 24,20231121,1643,0
263,17,1,7,Episode 07: Chapter 25,20231128,1660,0
264,17,1,8,Episode 08: Chapter 26,20231205,1677,0
265,17,1,9,Episode 09: Chapter 27,20231212,1334,0
266,17,1,10,Episode 10: Chapter 28,20231219,1351,0
267,17,1,11,Episode 11: Chapter 29,20231226,1368,0
268,17,1,12,Episode 12: Chapter 30,20240102,1385,0
269,17,2,1,Episode 13: Chapter 31,20240109,1402,0
270,17,2,2,Episode 14: Chapter 1,20240116,1419,0
271,17,2,3,Episode 15: Chapter 2,20240123,1436,0
272,17,2,4,Episode 16: Chapter 3,20240130,1453,0
273,18,1,1,Episode 01: Chapter 20,20231103,1571,0
274,18,1,2,Episode 02: Chapter 21,20231110,1588,0
275,18,1,3,Episode 03: Chapter 22,20231117,1605,0
276,18,1,4,Episode 04: Chapter 23,20231124,1622,0
277,18,1,5,Episode 05: Chapter 24,20231201,1639,0
278,18,1,6,Episode 06: Chapter 25,20231208,1656,0
279,18,1,7,Episode 07: Chapter 26,20231215,1673,0
280,18,1,8,Episode 08: Chapter 27,20231222,1330,0
281,18,1,9,Episode 09: Chapter 28,20231229,1347,0
282,18,1,10,Episode 10: Chapter 29,20240105,1364,0
283,18,1,11,Episode 11: Chapter 30,20240112,1381,0
284,18,1,12,Episode 12: Chapter 31,20240119,1398,0
285,18,2,1,Episode 13: Chapter 1,20240126,1415,0
286,18,2,2,Episode 14: Chapter 2,20240202,1432,0
287,18,2,3,Episode 15: Chapter 3,20240209,1449,0
288,18,2,4,Episode 16: Chapter 4,20240216,1466,1
289,19,1,1,Episode 01: Chapter 21,20231120,1584,0
290,19,1,2,Episode 02: Chapter 22,20231127,1601,0
291,19,1,3,Episode 03: Chapter 23,20231204,1618,0
292,19,1,4,Episode 04: Chapter 24,20231211,1635,0
293,19,1,5,Episode 05: Chapter 25,20231218,1652,0
294,19,1,6,Episode 06: Chapter 26,20231225,1669,0
295,19,1,7,Episode 07: Chapter 27,20240101,1326,0
296,19,1,8,Episode 08: Chapter 28,20240108,1343,0
297,19,1,9,Episode 09: Chapter 29,20240115,1360,0
298,19,1,10,Episode 10: Chapter 30,20240122,1377,0
299,19,1,11,Episode 11: Chapter 31,20240129,1394,0
300,19,1,12,Episode 12: Chapter 1,20240205,1411,0
301,19,2,1,Episode 13: Chapter 2,20240212,1428,0
302,19,2,2,Episode 14: Chapter 3,20240219,1445,0
303,19,2,3,Episode 15: Chapter 4,20240226,1462,1
304,19,2,4,Episode 16: Chapter 5,20240304,1479,0
305,20,1,1,Episode 01: Chapter 22,20231207,1597,0
306,20,1,2,Episode 02: Chapter 23,20231214,1614,0
307,20,1,3,Episode 03: Chapter 24,20231221,1631,0
308,20,1,4,Episode 04: Chapter 25,20231228,1648,0
309,20,1,5,Episode 05: Chapter 26,20240104,1665,0
310,20,1,6,Episode 06: Chapter 27,20240111,1322,0
311,20,1,7,Episode 07: Chapter 28,20240118,1339,0
312,20,1,8,Episode 08: Chapter 29,20240125,1356,0
313,20,1,9,Episode 09: Chapter 30,20240201,1373,0
314,20,1,10,Episode 10: Chapter 31,20240208,1390,0
315,20,1,11,Episode 11: Chapter 1,20240215,1407,0
316,20,1,12,Episode 12: Chapter 2,20240222,1424,0
317,20,2,1,Episode 13: Chapter 3,20240229,1441,0
318,20,2,2,Episode 14: Chapter 4,20240307,1458,1
319,20,2,3,Episode 15: Chapter 5,20240314,1475,0
320,20,2,4,Episode 16: Chapter 6,20240321,1492,0
321,21,1,1,Episode 01: Chapter 23,20231224,1610,0
322,21,1,2,Episode 02: Chapter 24,20231231,1627,0
323,21,1,3,Episode 03: Chapter 25,20240107,1644,0
324,21,1,4,Episode 04: Chapter 26,20240114,1661,0
325,21,1,5,Episode 05: Chapter 27,20240121,1678,0
326,21,1,6,Episode 06: Chapter 28,20240128,1335,0
327,21,1,7,Episode 07: Chapter 29,20240204,1352,0
328,21,1,8,Episode 08: Chapter 30,20240211,1369,0
329,21,1,9,Episode 09: Chapter 31,20240218,1386,0
330,21,1,10,Episode 10: Chapter 1,20240225,1403,0
331,21,1,11,Episode 11: Chapter 2,20240303,1420,0
332,21,1,12,Episode 12: Chapter 3,20240310,1437,0
333,21,2,1,Episode 13: Chapter 4,20240317,1454,1
334,21,2,2,Episode 14: Chapter 5,20240324,1471,0
335,21,2,3,Episode 15: Chapter 6,20240331,1488,0
336,21,2,4,Episode 16: Chapter 7,20240407,1505,0
337,22,1,1,Episode 01: Chapter 24,20240110,1623,0
338,22,1,2,Episode 02: Chapter 25,20240117,1640,0
339,22,1,3,Episode 03: Chapter 26,20240124,1657,0
340,22,1,4,Episode 04: Chapter 27,20240131,1674,0
341,22,1,5,Episode 05: Chapter 28,20240207,1331,0
342,22,1,6,Episode 06: Chapter 29,20240214,1348,0
343,22,1,7,Episode 07: Chapter 30,20240221,1365,0
344,22,1,8,Episode 08: Chapter 31,20240228,1382,0
345,22,1,9,Episode 09: Chapter 1,20240306,1399,0
346,22,1,10,Episode 10: Chapter 2,20240313,1416,0
347,22,1,11,Episode 11: Chapter 3,20240320,1433,0
348,22,1,12,Episode 12: Chapter 4,20240327,1450,1
349,22,2,1,Episode 13: Chapter 5,20240403,1467,0
350,22,2,2,Episode 14: Chapter 6,20240410,1484,0
351,22,2,3,Episode 15: Chapter 7,20240417,1501,0
352,22,2,4,Episode 16: Chapter 8,20240424,1518,0
353,23,1,1,Episode 01: Chapter 25,20240127,1636,0
354,23,1,2,Episode 02: Chapter 26,20240203,1653,0
355,23,1,3,Episode 03: Chapter 27,20240210,1670,0
356,23,1,4,Episode 04: Chapter 28,20240217,1327,0
357,23,1,5,Episode 05: Chapter 29,20240224,1344,0
358,23,1,6,Episode 06: Chapter 30,20240302,1361,0
359,23,1,7,Episode 07: Chapter 31,20240309,1378,0
360,23,1,8,Episode 08: Chapter 1,20240316,1395,0
361,23,1,9,Episode 09: Chapter 2,20240323,1412,0
362,23,1,10,Episode 10: Chapter 3,20240330,1429,0
363,23,1,11,Episode 11: Chapter 4,20240406,1446,1
364,23,1,12,Episode 12: Chapter 5,20240413,1463,0
365,23,2,1,Episode 13: Chapter 6,20240420,1480,0
366,23,2,2,Episode 14: Chapter 7,20240427,1497,0
367,23,2,3,Episode 15: Chapter 8,20240504,1514,0
368,23,2,4,Episode 16: Chapter 9,20240511,1531,0
369,24,1,1,Episode 01: Chapter 26,20240213,1649,0
370,24,1,2,Episode 02: Chapter 27,20240220,1666,0
371,24,1,3,Episode 03: Chapter 28,20240227,1323,0
372,24,1,4,Episode 04: Chapter 29,20240305,1340,0
373,24,1,5,Episode 05: Chapter 30,20240312,1357,0
374,24,1,6,Episode 06: Chapter 31,20240319,1374,0
375,24,1,7,Episode 07: Chapter 1,20240326,1391,0
376,24,1,8,Episode 08: Chapter 2,20240402,1408,0
377,24,1,9,Episode 09: Chapter 3,20240409,1425,0
378,24,1,10,Episode 10: Chapter 4,20240416,1442,1
379,24,1,11,Episode 11: Chapter 5,20240423,1459,0
380,24,1,12,Episode 12: Chapter 6,20240430,1476,0
381,24,2,1,Episode 13: Chapter 7,20240507,1493,0
382,24,2,2,Episode 14: Chapter 8,20240514,1510,0
383,24,2,3,Episode 15: Chapter 9,20240521,1527,0
384,24,2,4,Episode 16: Chapter 10,20240528,1544,0
385,25,1,1,Episode 01: Chapter 27,20240301,1662,0
386,25,1,2,Episode 02: Chapter 28,20240308,1679,0
387,25,1,3,Episode 03: Chapter 29,20240315,1336,0
388,25,1,4,Episode 04: Chapter 30,20240322,1353,0
389,25,1,5,Episode 05: Chapter 31,20240329,1370,0
390,25,1,6,Episode 06: Chapter 1,20240405,1387,0
391,25,1,7,Episode 07: Chapter 2,20240412,1404,0
392,25,1,8,Episode 08: Chapter 3,20240419,1421,0
393,25,1,9,Episode 09: Chapter 4,20240426,1438,1
394,25,1,10,Episode 10: Chapter 5,20240503,1455,0
395,25,1,11,Episode 11: Chapter 6,20240510,1472,0
396,25,1,12,Episode 12: Chapter 7,20240517,1489,0
397,25,2,1,Episode 13: Chapter 8,20240524,1506,0
398,25,2,2,Episode 14: Chapter 9,20240531,1523,0
399,25,2,3,Episode 15: Chapter 10,20240607,1540,0
400,25,2,4,Episode 16: Chapter 11,20240614,1557,0
401,26,1,1,Episode 01: Chapter 28,20240318,1675,0
402,26,1,2,Episode 02: Chapter 29,20240325,1332,0
403,26,1,3,Episode 03: Chapter 30,20240401,1349,0
404,26,1,4,Episode 04: Chapter 31,20240408,1366,0
405,26,1,5,Episode 05: Chapter 1,20240415,1383,0
406,26,1,6,Episode 06: Chapter 2,20240422,1400,0
407,26,1,7,Episode 07: Chapter 3,20240429,1417,0
408,26,1,8,Episode 08: Chapter 4,20240506,1434,1
409,26,1,9,Episode 09: Chapter 5,20240513,1451,0
410,26,1,10,Episode 10: Chapter 6,20240520,1468,0
411,26,1,11,Episode 11: Chapter 7,20240527,1485,0
412,26,1,12,Episode 12: Chapter 8,20240603,1502,0
413,26,2,1,Episode 13: Chapter 9,20240610,1519,0
414,26,2,2,Episode 14: Chapter 10,20240617,1536,0
415,26,2,3,Episode 15: Chapter 11,20240624,1553,0
416,26,2,4,Episode 16: Chapter 12,20240701,1570,0
417,27,1,1,Episode 01: Chapter 29,20240404,1328,0
418,27,1,2,Episode 02: Chapter 30,20240411,1345,0
419,27,1,3,Episode 03: Chapter 31,20240418,1362,0
420,27,1,4,Episode 04: Chapter 1,20240425,1379,0
421,27,1,5,Episode 05: Chapter 2,20240502,1396,0
422,27,1,6,Episode 06: Chapter 3,20240509,1413,0
423,27,1,7,Episode 07: Chapter 4,20240516,1430,1
424,27,1,8,Episode 08: Chapter 5,20240523,1447,0
425,27,1,9,Episode 09: Chapter 6,20240530,1464,0
426,27,1,10,Episode 10: Chapter 7,20240606,1481,0
427,27,1,11,Episode 11: Chapter 8,20240613,1498,0
428,27,1,12,Episode 12: Chapter 9,20240620,1515,0
429,27,2,1,Episode 13: Chapter 10,20240627,1532,0
430,27,2,2,Episode 14: Chapter 11,20240704,1549,0
431,27,2,3,Episode 15: Chapter 12,20240711,1566,0
432,27,2,4,Episode 16: Chapter 13,20240718,1583,0
433,28,1,1,Episode 01: Chapter 30,20240421,1341,0
434,28,1,2,Episode 02: Chapter 31,20240428,1358,0
435,28,1,3,Episode 03: Chapter 1,20240505,1375,0
436,28,1,4,Episode 04: Chapter 2,20240512,1392,0
437,28,1,5,Episode 05: Chapter 3,20240519,1409,0
438,28,1,6,Episode 06: Chapter 4,20240526,1426,1
439,28,1,7,Episode 07: Chapter 5,20240602,1443,0
440,28,1,8,Episode 08: Chapter 6,20240609,1460,0
441,28,1,9,Episode 09: Chapter 7,20240616,1477,0
442,28,1,10,Episode 10: Chapter 8,20240623,1494,0
443,28,1,11,Episode 11: Chapter 9,20240630,1511,0
444,28,1,12,Episode 12: Chapter 10,20240707,1528,0
445,28,2,1,Episode 13: Chapter 11,20240714,1545,0
446,28,2,2,Episode 14: Chapter 12,20240721,1562,0
447,28,2,3,Episode 15: Chapter 13,20240728,1579,0
448,28,2,4,Episode 16: Chapter 14,20240804,1596,0
449,29,1,1,Episode 01: Chapter 31,20240508,1354,0
450,29,1,2,Episode 02: Chapter 1,20240515,1371,0
451,29,1,3,Episode 03: Chapter 2,20240522,1388,0
452,29,1,4,Episode 04: Chapter 3,20240529,1405,0
453,29,1,5,Episode 05: Chapter 4,20240605,1422,1
454,29,1,6,Episode 06: Chapter 5,20240612,1439,0
455,29,1,7,Episode 07: Chapter 6,20240619,1456,0
456,29,1,8,Episode 08: Chapter 7,20240626,1473,0
457,29,1,9,Episode 09: Chapter 8,20240703,1490,0
458,29,1,10,Episode 10: Chapter 9,20240710,1507,0
459,29,1,11,Episode 11: Chapter 10,20240717,1524,0
460,29,1,12,Episode 12: Chapter 11,20240724,1541,0
461,29,2,1,Episode 13: Chapter 12,20240731,1558,0
462,29,2,2,Episode 14: Chapter 13,20240807,1575,0
463,29,2,3,Episode 15: Chapter 14,20240814,1592,0
