watch_session_id,user_id,episode_id,subscription_id,watch_date_key,started_at,device_type,playback_region,watch_seconds,completion_pct,completed_flag,rewatch_flag,buffering_seconds
50,57,3322,,20231020,2023-10-20T01:54:10,Mobile,Latin America,1408,0.8411,0,0,11
51,5237,4214,628,20240726,2024-07-26T01:56:27,TV,Latin America,621,0.3848,0,0,9
52,3298,867,,20240520,2024-05-20T01:58:44,Console,Europe,1010,0.7394,0,0,2
53,2212,5611,3303,20250516,2025-05-16T02:01:01,Web,APAC,712,0.5122,0,0,13
54,3152,5036,,20230702,2023-07-02T02:03:18,Tablet,APAC,308,0.1857,0,0,21
55,2024,775,6379,20241014,2024-10-14T02:05:35,Mobile,APAC,879,0.6482,0,1,3
56,3556,3158,,20230507,2023-05-07T02:07:52,TV,APAC,1084,0.7344,0,0,1
57,2508,1163,,20240325,2024-03-25T02:10:09,Console,APAC,861,0.6257,0,0,11
58,2,1622,,20230915,2023-09-15T02:12:26,Web,Europe,1114,0.6679,0,0,9
59,3715,3552,1722,20240721,2024-07-21T02:14:43,Tablet,North America,847,0.53,0,0,0
60,2516,5743,,20240320,2024-03-20T02:17:00,Mobile,APAC,593,0.3796,0,0,7
61,2564,4116,,20240223,2024-02-23T02:19:17,TV,APAC,877,0.5839,0,0,2
62,5942,2206,,20230314,2023-03-14T02:21:34,Console,Europe,964,0.6211,0,0,8
63,868,685,,20230810,2023-08-10T02:23:51,Web,APAC,1216,0.8812,0,0,10
64,2708,5114,,20250406,2025-04-06T02:26:08,Tablet,APAC,749,0.5632,0,0,3
65,5135,4301,3382,20240110,2024-01-10T02:28:25,Mobile,North America,1327,0.9228,1,0,2
66,3048,987,,20250927,2025-09-27T02:30:42,TV,APAC,1029,0.646,0,1,1
67,2874,2458,,20250312,2025-03-12T02:32:59,Console,Europe,1225,0.9197,1,0,3
68,3896,5642,,20251209,2025-12-09T02:35:16,Web,APAC,1301,0.9299,1,0,9
69,293,1932,,20230821,2023-08-21T02:37:33,Tablet,Latin America,1162,0.7013,0,0,1
70,145,4296,8112,20240603,2024-06-03T02:39:50,Mobile,Latin America,844,0.6238,0,0,11
71,1552,87,,20231111,2023-11-11T02:42:07,TV,APAC,1326,0.8741,0,0,7
72,2183,1425,,20240908,2024-09-08T02:44:24,Console,North America,1076,0.754,0,0,4
73,5549,3986,,20230906,2023-09-06T02:46:41,Web,Latin America,622,0.456,0,0,6
74,1776,173,5075,20240521,2024-05-21T02:48:58,Tablet,APAC,498,0.3761,0,0,22
75,594,5310,,20230729,2023-07-29T02:51:15,Mobile,Europe,1288,0.8288,0,0,6
76,3908,4486,,20240222,2024-02-22T02:53:32,TV,APAC,1146,0.7769,0,0,22
77,3566,52,745,20241112,2024-11-12T02:55:49,Console,Europe,943,0.6549,0,1,3
78,5175,2973,,20240325,2024-03-25T02:58:06,Web,North America,1063,0.7387,0,0,6
79,1003,5073,2946,20240721,2024-07-21T03:00:23,Tablet,North America,1492,0.9874,1,0,2
80,2958,1722,,20240422,2024-04-22T03:02:40,Mobile,Europe,1180,0.8116,0,0,5
81,3532,3315,,20230227,2023-02-27T03:04:57,TV,APAC,696,0.4476,0,0,0
82,1858,3737,861,20241225,2024-12-25T03:07:14,Console,Europe,685,0.419,0,0,16
83,625,4375,,20230416,2023-04-16T03:09:31,Web,Latin America,1321,0.9429,1,0,6
84,5176,70,,20240910,2024-09-10T03:11:48,Tablet,APAC,1405,0.9449,1,0,2
85,1426,2642,,20240315,2024-03-15T03:14:05,Mobile,Europe,1333,0.9859,1,0,15
86,825,4975,,20230901,2023-09-01T03:16:22,TV,Latin America,1593,0.9608,1,0,51
87,2748,3511,,20230627,2023-06-27T03:18:39,Console,APAC,1113,0.7844,0,0,2
88,3484,5283,,20240430,2024-04-30T03:20:56,Web,APAC,565,0.4173,0,1,27
89,5885,2582,1132,20250808,2025-08-08T03:23:13,Tablet,Latin America,805,0.5885,0,0,12
90,3840,2305,,20240225,2024-02-25T03:25:30,Mobile,APAC,982,0.6906,0,0,2
91,5734,2963,4209,20241016,2024-10-16T03:27:47,TV,Europe,626,0.3843,0,0,12
92,3087,1330,,20251204,2025-12-04T03:30:04,Console,North America,926,0.6779,0,0,12
93,2036,2321,55,20251017,2025-10-17T03:32:21,Web,APAC,1184,0.8251,0,0,15
94,2169,2783,,20241214,2024-12-14T03:34:38,Tablet,Latin America,1380,0.8229,0,0,8
95,1126,2291,,20230429,2023-04-29T03:36:55,Mobile,Europe,1413,0.9792,1,0,10
96,408,4393,,20241004,2024-10-04T03:39:12,TV,APAC,466,0.3218,0,0,11
97,141,4444,4220,20250118,2025-01-18T03:41:29,Console,Latin America,1091,0.7094,0,0,0
98,4023,948,,20251228,2025-12-28T03:43:46,Web,North America,1027,0.7093,0,0,10
99,5822,3532,,20230321,2023-03-21T03:46:03,Tablet,Europe,1311,0.8642,0,1,5
100,5762,5049,,20230513,2023-05-13T03:48:20,Mobile,Europe,514,0.3171,0,0,6
101,3708,1816,,20230619,2023-06-19T03:50:37,TV,APAC,568,0.3792,0,0,9
102,5481,4696,4040,20251105,2025-11-05T03:52:54,Console,Latin America,1095,0.6526,0,0,17
103,194,2206,,20230430,2023-04-30T03:55:11,Web,Europe,772,0.4974,0,0,3
104,1798,4992,,20240219,2024-02-19T03:57:28,Tablet,Europe,1168,0.8795,0,0,3
105,5648,403,,20230711,2023-07-11T03:59:45,Mobile,APAC,706,0.5234,0,0,0
106,3220,1922,87,20240714,2024-07-14T04:02:02,TV,APAC,955,0.6422,0,0,4
107,5300,2725,,20230925,2023-09-25T04:04:19,Console,APAC,1414,0.9632,1,0,24
108,785,2656,,20250502,2025-05-02T04:06:36,Web,Latin America,1530,0.9623,1,0,10
109,3246,3708,7385,20240416,2024-04-16T04:08:53,Tablet,Europe,1545,0.9307,1,0,13
110,5457,3473,,20250522,2025-05-22T04:11:10,Mobile,Latin America,1104,0.6687,0,1,0
111,2372,5058,2983,20240913,2024-09-13T04:13:27,TV,APAC,876,0.5782,0,0,16
112,2277,4072,,20250916,2025-09-16T04:15:44,Console,Latin America,658,0.4298,0,0,23
113,1366,2631,2145,20240623,2024-06-23T04:18:01,Web,Europe,1271,0.8926,0,0,2
114,4964,494,,20230514,2023-05-14T04:20:18,Tablet,APAC,1021,0.6377,0,0,10
115,4116,5556,1895,20250302,2025-03-02T04:22:35,Mobile,APAC,1528,0.9598,1,0,12
116,5757,2417,,20240623,2024-06-23T04:24:52,TV,Latin America,1095,0.7237,0,0,2
117,3500,3877,2527,20251228,2025-12-28T04:27:09,Console,APAC,409,0.3089,0,0,3
118,1424,593,,20230508,2023-05-08T04:29:26,Web,APAC,928,0.6309,0,0,6
119,4740,1338,,20230122,2023-01-22T04:31:43,Tablet,APAC,919,0.6119,0,0,1
120,5582,2904,,20230322,2023-03-22T04:34:00,Mobile,Europe,1310,0.7882,0,0,21
121,2042,1355,,20230609,2023-06-09T04:36:17,TV,Europe,339,0.2213,0,1,15
122,2843,2489,,20250909,2025-09-09T04:38:34,Console,North America,816,0.6085,0,0,0
123,2518,4863,,20241128,2024-11-28T04:40:51,Web,Europe,1118,0.7135,0,0,1
124,5757,1827,,20251023,2025-10-23T04:43:08,Tablet,Latin America,849,0.5954,0,0,4
125,2060,2841,,20241016,2024-10-16T04:45:25,Mobile,APAC,1109,0.6816,0,0,5
126,5247,3162,,20240813,2024-08-13T04:47:42,TV,North America,1293,0.8374,0,0,7
127,1401,4723,200,20230727,2023-07-27T04:49:59,Console,Latin America,1472,0.9092,1,0,8
128,1031,5056,,20250607,2025-06-07T04:52:16,Web,North America,428,0.3101,0,0,11
129,4721,4223,2560,20250805,2025-08-05T04:54:33,Tablet,Latin America,1114,0.7918,0,0,0
130,5610,5159,,20230516,2023-05-16T04:56:50,Mobile,Europe,1151,0.6859,0,0,45
131,986,2151,4405,20250209,2025-02-09T04:59:07,TV,Europe,1213,0.8702,0,0,2
132,596,216,,20240828,2024-08-28T05:01:24,Console,APAC,851,0.5195,0,1,1
133,5558,2769,6961,20241223,2024-12-23T05:03:41,Web,Europe,784,0.5448,0,0,9
134,887,648,4078,20230822,2023-08-22T05:05:58,Tablet,North America,1150,0.706,0,0,0
135,1683,1227,4586,20240916,2024-09-16T05:08:15,Mobile,North America,1199,0.8396,0,0,23
136,92,1054,,20230916,2023-09-16T05:10:32,TV,APAC,1258,0.9416,1,0,22
137,2834,989,,20240131,2024-01-31T05:12:49,Console,Europe,1337,0.8218,0,0,20
138,995,5315,,20240728,2024-07-28T05:15:06,Web,North America,1091,0.7906,0,0,2
139,1845,1436,212,20251226,2025-12-26T05:17:23,Tablet,Latin America,1285,0.7962,0,0,9
140,3423,2263,,20241027,2024-10-27T05:19:40,Mobile,North America,1332,0.897,0,0,2
141,4249,396,,20230415,2023-04-15T05:21:57,TV,Latin America,838,0.5628,0,0,10
142,3701,3740,,20230506,2023-05-06T05:24:14,Console,Latin America,670,0.5053,0,0,1
143,2572,3496,,20250112,2025-01-12T05:26:31,Web,APAC,863,0.6065,0,1,3
144,4752,1451,,20230428,2023-04-28T05:28:48,Tablet,APAC,716,0.4447,0,0,1
145,764,1050,,20250721,2025-07-21T05:31:05,Mobile,APAC,1031,0.6333,0,0,8
146,1137,4765,7328,20251106,2025-11-06T05:33:22,TV,Latin America,1001,0.688,0,0,6
147,5183,743,2086,20250312,2025-03-12T05:35:39,Console,North America,792,0.5955,0,0,14
148,2854,4206,,20240530,2024-05-30T05:37:56,Web,Europe,795,0.5773,0,0,6
149,492,1284,,20250309,2025-03-09T05:40:13,Tablet,APAC,1249,0.9177,1,0,17
150,593,4571,,20240525,2024-05-25T05:42:30,Mobile,Latin America,610,0.3754,0,0,4
151,5673,181,4856,20250218,2025-02-18T05:44:47,TV,Latin America,1396,0.8943,0,0,18
152,935,2332,,20240325,2024-03-25T05:47:04,Console,North America,1011,0.6233,0,0,16
153,5741,3862,5020,20250707,2025-07-07T05:49:21,Web,Latin America,477,0.3592,0,0,0
154,5160,5366,,20240421,2024-04-21T05:51:38,Tablet,APAC,967,0.6578,0,1,4
155,700,1145,,20241104,2024-11-04T05:53:55,Mobile,APAC,1129,0.8495,0,0,44
156,4731,675,,20240223,2024-02-23T05:56:12,TV,North America,1230,0.7834,0,0,1
157,1258,5532,5061,20250809,2025-08-09T05:58:29,Console,Europe,497,0.3703,0,0,1
158,849,1713,,20240116,2024-01-16T06:00:46,Web,Latin America,1369,0.8242,0,0,9
159,5449,3193,,20240608,2024-06-08T06:03:03,Tablet,Latin America,457,0.2943,0,0,20
160,247,417,,20250330,2025-03-30T06:05:20,Mobile,North America,1173,0.8833,0,0,0
161,1283,2097,,20250426,2025-04-26T06:07:37,TV,North America,1601,0.9926,1,0,23
162,3617,5497,,20231009,2023-10-09T06:09:54,Console,Latin America,495,0.3046,0,0,0
163,3518,21,2041,20250919,2025-09-19T06:12:11,Web,Europe,1095,0.7652,0,0,1
164,2506,1534,,20231213,2023-12-13T06:14:28,Tablet,Europe,655,0.4795,0,0,13
165,1473,2598,4256,20250922,2025-09-22T06:16:45,Mobile,Latin America,1341,0.971,1,1,7
166,1759,2603,,20230830,2023-08-30T06:19:02,TV,North America,969,0.661,0,0,4
167,1588,2317,,20241019,2024-10-19T06:21:19,Console,APAC,635,0.3905,0,0,8
168,3454,2230,,20240115,2024-01-15T06:23:36,Web,Europe,996,0.6907,0,0,7
169,2349,5198,,20230314,2023-03-14T06:25:53,Tablet,Latin America,950,0.6494,0,0,3
170,2438,5539,1201,20240530,2024-05-30T06:28:10,Mobile,Europe,1113,0.7125,0,0,7
171,920,189,,20231215,2023-12-15T06:30:27,TV,APAC,1215,0.9088,1,0,18
172,3780,5058,,20231117,2023-11-17T06:32:44,Console,APAC,1235,0.8152,0,0,10
173,909,2283,1484,20240430,2024-04-30T06:35:01,Web,Latin America,1132,0.7229,0,0,0
174,1587,5306,,20230914,2023-09-14T06:37:18,Tablet,North America,1369,0.9213,1,0,3
175,3354,349,4469,20241019,2024-10-19T06:39:35,Mobile,Europe,854,0.5821,0,0,6
176,3345,5712,,20250504,2025-05-04T06:41:52,TV,Latin America,1271,0.8184,0,1,0
177,4599,720,,20250427,2025-04-27T06:44:09,Console,North America,1230,0.8442,0,0,1
178,4502,1077,,20240615,2024-06-15T06:46:26,Web,Europe,1233,0.7859,0,0,6
179,1348,4354,,20250430,2025-04-30T06:48:43,Tablet,APAC,1592,0.9573,1,0,19
180,3566,4228,,20240821,2024-08-21T06:51:00,Mobile,Europe,1320,0.8286,0,0,1
181,5407,4753,4038,20250709,2025-07-09T06:53:17,TV,North America,785,0.4873,0,0,1
182,4839,4591,3374,20231218,2023-12-18T06:55:34,Console,North America,985,0.7318,0,0,5
183,4045,1757,4812,20250228,2025-02-28T06:57:51,Web,Latin America,1523,0.9948,1,0,14
184,3130,4457,,20231223,2023-12-23T07:00:08,Tablet,Europe,698,0.4653,0,0,1
185,2110,310,,20251111,2025-11-11T07:02:25,Mobile,Europe,1264,0.9561,1,0,8
186,3530,1042,1717,20250618,2025-06-18T07:04:42,TV,Europe,1350,0.9048,1,0,7
187,4736,5028,5155,20241229,2024-12-29T07:06:59,Console,APAC,1398,0.9179,1,1,5
188,1484,4843,,20230616,2023-06-16T07:09:16,Web,APAC,876,0.5895,0,0,0
189,526,3606,825,20240224,2024-02-24T07:11:33,Tablet,Europe,1323,0.8939,0,0,4
190,5578,5227,,20250318,2025-03-18T07:13:50,Mobile,Europe,1072,0.7455,0,0,6
191,4862,4775,,20240613,2024-06-13T07:16:07,TV,Europe,1331,0.9744,1,0,2
192,2547,5476,,20250521,2025-05-21T07:18:24,Console,North America,729,0.4774,0,0,24
193,560,4791,,20250720,2025-07-20T07:20:41,Web,APAC,1201,0.8709,0,0,7
194,4717,5281,,20230612,2023-06-12T07:22:58,Tablet,Latin America,1220,0.9242,1,0,31
195,5931,2878,,20230606,2023-06-06T07:25:15,Mobile,North America,1104,0.8012,0,0,4
196,5910,3770,,20250713,2025-07-13T07:27:32,TV,Europe,1673,0.997,1,0,2
197,2450,1366,,20240512,2024-05-12T07:29:49,Console,Europe,811,0.5555,0,0,12
198,3990,2267,,20240301,2024-03-01T07:32:06,Web,Europe,1382,0.8899,0,1,13
199,5173,4601,,20240424,2024-04-24T07:34:23,Tablet,Latin America,1348,0.8336,0,0,2
200,854,1988,,20230505,2023-05-05T07:36:40,Mobile,Europe,1561,0.9924,1,0,0
201,1170,5257,3437,20240908,2024-09-08T07:38:57,TV,Europe,1229,0.8594,0,0,22
202,4825,985,,20250429,2025-04-29T07:41:14,Console,Latin America,791,0.5074,0,0,5
203,1116,5531,,20230613,2023-06-13T07:43:31,Web,APAC,1016,0.7668,0,0,0
204,1962,5058,,20240313,2024-03-13T07:45:48,Tablet,Europe,834,0.5505,0,0,2
205,2621,2163,5260,20231101,2023-11-01T07:48:05,Mobile,Latin America,745,0.5564,0,0,15
206,937,2657,,20240606,2024-06-06T07:50:22,TV,Latin America,840,0.6231,0,0,21
207,1532,2078,,20240301,2024-03-01T07:52:39,Console,APAC,991,0.6844,0,0,14
208,879,4357,,20241005,2024-10-05T07:54:56,Web,North America,1221,0.9018,1,0,7
209,5051,592,5650,20230412,2023-04-12T07:57:13,Tablet,North America,779,0.5758,0,1,5
210,5863,549,,20241009,2024-10-09T07:59:30,Mobile,North America,1220,0.8133,0,0,27
211,3628,3620,,20240905,2024-09-05T08:01:47,TV,APAC,1078,0.7389,0,0,11
212,3703,5174,,20250604,2025-06-04T08:04:04,Console,North America,1242,0.7419,0,0,9
213,1735,443,1182,20230925,2023-09-25T08:06:21,Web,North America,1249,0.8266,0,0,14
214,3556,4923,,20250128,2025-01-28T08:08:38,Tablet,APAC,641,0.4133,0,0,5
215,4081,4247,,20240410,2024-04-10T08:10:55,Mobile,Latin America,1172,0.7073,0,0,0
216,64,4966,,20250414,2025-04-14T08:13:12,TV,APAC,1143,0.7595,0,0,4
217,5362,3893,2253,20250111,2025-01-11T08:15:29,Console,Europe,580,0.4338,0,0,22
218,627,3314,,20250502,2025-05-02T08:17:46,Web,North America,1347,0.8758,0,0,0
219,1651,5071,3450,20251031,2025-10-31T08:20:03,Tablet,North America,1051,0.7638,0,0,1
220,1737,4441,,20241021,2024-10-21T08:22:20,Mobile,Latin America,1486,0.9993,1,1,15
221,1181,259,,20240114,2024-01-14T08:24:37,TV,Latin America,732,0.4598,0,0,2
222,322,3231,,20230911,2023-09-11T08:26:54,Console,Europe,901,0.6821,0,0,8
223,5015,1967,6622,20241230,2024-12-30T08:29:11,Web,North America,1133,0.8246,0,0,5
224,4840,708,,20250118,2025-01-18T08:31:28,Tablet,APAC,1066,0.6609,0,0,16
225,1214,1631,,20240608,2024-06-08T08:33:45,Mobile,Europe,746,0.5106,0,0,1
226,3554,2573,1069,20240208,2024-02-08T08:36:02,TV,Europe,1175,0.7972,0,0,2
227,437,118,4228,20240116,2024-01-16T08:38:19,Console,Latin America,814,0.5334,0,0,3
228,1320,1498,,20241220,2024-12-20T08:40:36,Web,APAC,1047,0.6415,0,0,12
229,3663,1181,,20231208,2023-12-08T08:42:53,Tablet,North America,1179,0.8285,0,0,5
230,888,5630,5051,20230721,2023-07-21T08:45:10,Mobile,APAC,406,0.2792,0,0,10
231,3295,4100,,20240725,2024-07-25T08:47:27,TV,North America,793,0.5326,0,1,16
232,471,2688,,20231229,2023-12-29T08:49:44,Console,North America,1540,0.953,1,0,0
233,1230,1240,,20240313,2024-03-13T08:52:01,Web,Europe,697,0.5014,0,0,8
234,1282,2772,,20251031,2025-10-31T08:54:18,Tablet,Europe,833,0.5591,0,0,15
235,4186,1738,4005,20240808,2024-08-08T08:56:35,Mobile,Europe,996,0.6789,0,0,10
236,4562,603,,20250122,2025-01-22T08:58:52,TV,Europe,1400,0.8531,0,0,1
237,5465,628,472,20250512,2025-05-12T09:01:09,Console,Latin America,1533,0.9903,1,0,0
238,1011,349,4730,20251228,2025-12-28T09:03:26,Web,North America,763,0.5201,0,0,1
239,4473,981,,20250405,2025-04-05T09:05:43,Tablet,Latin America,845,0.5667,0,0,0
240,4097,1093,,20240626,2024-06-26T09:08:00,Mobile,Latin America,1501,0.9488,1,0,7
241,2529,933,,20250313,2025-03-13T09:10:17,TV,Latin America,1157,0.7968,0,0,0
242,4483,634,,20231101,2023-11-01T09:12:34,Console,North America,636,0.3855,0,1,3
243,282,2338,,20240412,2024-04-12T09:14:51,Web,Europe,1433,0.9782,1,0,0
244,1116,4222,,20250226,2025-02-26T09:17:08,Tablet,APAC,1355,0.9748,1,0,2
245,3623,674,,20240321,2024-03-21T09:19:25,Mobile,North America,959,0.6175,0,0,4
246,2025,4231,,20231016,2023-10-16T09:21:42,TV,Latin America,1192,0.7251,0,0,14
247,1958,4768,8161,20250807,2025-08-07T09:23:59,Console,Europe,1085,0.7205,0,0,12
248,397,4434,,20251009,2025-10-09T09:26:16,Web,Latin America,1032,0.7544,0,0,4
249,549,2818,5204,20231021,2023-10-21T09:28:33,Tablet,Latin America,1397,0.9344,1,0,2
250,5211,1478,,20230824,2023-08-24T09:30:50,Mobile,North America,1366,0.8807,0,0,4
251,4996,5700,135,20240524,2024-05-24T09:33:07,TV,APAC,1183,0.8769,0,0,4
252,1391,4104,,20230224,2023-02-24T09:35:24,Console,North America,1166,0.7489,0,0,18
253,3974,5615,1729,20250413,2025-04-13T09:37:41,Web,Europe,1442,0.989,1,1,10
254,4974,1886,,20250610,2025-06-10T09:39:58,Tablet,Europe,1636,0.9903,1,0,0
255,5865,5363,,20241211,2024-12-11T09:42:15,Mobile,Latin America,1170,0.8245,0,0,13
256,5253,1444,,20240211,2024-02-11T09:44:32,TV,Latin America,746,0.5003,0,0,6
257,4759,1495,,20231012,2023-10-12T09:46:49,Console,North America,1200,0.759,0,0,7
258,5309,176,,20251002,2025-10-02T09:49:06,Web,Latin America,280,0.2036,0,0,1
259,4681,1299,,20230605,2023-06-05T09:51:23,Tablet,Latin America,1075,0.7922,0,0,2
260,5267,4249,,20230522,2023-05-22T09:53:40,Mobile,North America,946,0.7107,0,0,2
261,864,485,,20230331,2023-03-31T09:55:57,TV,APAC,1192,0.8232,0,0,6
262,2935,5152,,20230329,2023-03-29T09:58:14,Console,North America,1439,0.987,1,0,5
263,2220,4211,,20240519,2024-05-19T10:00:31,Web,APAC,1071,0.6852,0,0,2
264,3963,2246,,20250113,2025-01-13T10:02:48,Tablet,North America,1050,0.7216,0,1,0
265,5847,169,6158,20231210,2023-12-10T10:05:05,Mobile,North America,673,0.4165,0,0,4
266,2832,3473,,20230929,2023-09-29T10:07:22,TV,APAC,1171,0.7093,0,0,2
267,5429,5477,,20230331,2023-03-31T10:09:39,Console,Latin America,626,0.4054,0,0,1
268,5776,661,,20230920,2023-09-20T10:11:56,Web,APAC,698,0.4387,0,0,2
269,2796,4989,1535,20231124,2023-11-24T10:14:13,Tablet,APAC,1472,0.8992,0,0,2
270,2185,5506,,20250205,2025-02-05T10:16:30,Mobile,Latin America,1104,0.7268,0,0,3
271,4033,1840,,20240319,2024-03-19T10:18:47,TV,Latin America,1589,0.9648,1,0,11
272,3353,3392,,20251208,2025-12-08T10:21:04,Console,Latin America,831,0.5661,0,0,2
273,773,5585,,20250112,2025-01-12T10:23:21,Web,Latin America,461,0.2942,0,0,2
274,1858,1352,861,20250329,2025-03-29T10:25:38,Tablet,Europe,1363,0.9203,1,0,6
275,2775,3497,5102,20231006,2023-10-06T10:27:55,Mobile,North America,841,0.584,0,1,0
276,2150,3535,,20240704,2024-07-04T10:30:12,TV,Europe,841,0.5364,0,0,6
277,328,1642,,20241128,2024-11-28T10:32:29,Console,APAC,930,0.6695,0,0,3
278,2902,4579,,20240625,2024-06-25T10:34:46,Web,Europe,1175,0.7823,0,0,3
279,5888,67,,20250105,2025-01-05T10:37:03,Tablet,APAC,1072,0.7465,0,0,18
280,4294,4999,,20230917,2023-09-17T10:39:20,Mobile,Europe,1291,0.834,0,0,24
281,1698,3178,7181,20250220,2025-02-20T10:41:37,TV,Europe,1430,0.9184,1,0,30
282,4486,4155,7905,20240105,2024-01-05T10:43:54,Console,Europe,1093,0.6636,0,0,10
283,95,535,,20250404,2025-04-04T10:46:11,Web,North America,1182,0.7771,0,0,9
284,259,4648,,20230404,2023-04-04T10:48:28,Tablet,North America,804,0.4905,0,0,1
285,5449,5457,,20241110,2024-11-10T10:50:45,Mobile,Latin America,1086,0.7423,0,0,2
286,5106,5502,5165,20250913,2025-09-13T10:53:02,TV,Europe,838,0.6207,0,1,0
287,3785,322,,20240125,2024-01-25T10:55:19,Console,Latin America,1252,0.7695,0,0,6
288,4189,3871,,20231209,2023-12-09T10:57:36,Web,Latin America,1325,0.8947,0,0,2
289,5601,255,800,20231028,2023-10-28T10:59:53,Tablet,Latin America,1075,0.7554,0,0,10
290,5423,4843,7606,20250616,2025-06-16T11:02:10,Mobile,North America,1004,0.6756,0,0,18
291,520,286,987,20240122,2024-01-22T11:04:27,TV,APAC,1140,0.7961,0,0,5
