product_id,anime_id,sku,product_name,product_category,license_type,unit_cost_usd,list_price_usd
40,,ANI-00040,Figure Collection 0040,Figure,Limited,83.33,125.97
41,338,ANI-00041,Blu-ray Collection 0041,Blu-ray,Standard,54.62,125.06
42,355,ANI-00042,Apparel Collection 0042,Apparel,Exclusive,68.16,147.65
43,12,ANI-00043,Accessory Collection 0043,Accessory,Limited,88.19,198.62
44,29,ANI-00044,Poster Collection 0044,Poster,Standard,60.07,121.74
45,46,ANI-00045,Figure Collection 0045,Figure,Exclusive,18.08,46.72
46,63,ANI-00046,Blu-ray Collection 0046,Blu-ray,Limited,84.75,152.97
47,80,ANI-00047,Apparel Collection 0047,Apparel,Standard,33.07,62.37
48,97,ANI-00048,Accessory Collection 0048,Accessory,Exclusive,46.62,96.47
49,114,ANI-00049,Poster Collection 0049,Poster,Limited,50.63,111.43
50,131,ANI-00050,Figure Collection 0050,Figure,Standard,14.86,29.5
51,148,ANI-00051,Blu-ray Collection 0051,Blu-ray,Exclusive,13.03,28.89
52,165,ANI-00052,Apparel Collection 0052,Apparel,Limited,13.58,33.4
53,182,ANI-00053,Accessory Collection 0053,Accessory,Standard,43.09,97.63
54,199,ANI-00054,Poster Collection 0054,Poster,Exclusive,81.1,143.68
55,216,ANI-00055,Figure Collection 0055,Figure,Limited,62.68,155.22
56,233,ANI-00056,Blu-ray Collection 0056,Blu-ray,Standard,89.84,128.93
57,250,ANI-00057,Apparel Collection 0057,Apparel,Exclusive,25.0,35.5
58,267,ANI-00058,Accessory Collection 0058,Accessory,Limited,14.95,33.65
59,284,ANI-00059,Poster Collection 0059,Poster,Standard,7.4,19.15
60,,ANI-00060,Figure Collection 0060,Figure,Exclusive,9.81,15.62
61,318,ANI-00061,Blu-ray Collection 0061,Blu-ray,Limited,20.24,41.53
62,335,ANI-00062,Apparel Collection 0062,Apparel,Standard,35.83,76.99
63,352,ANI-00063,Accessory Collection 0063,Accessory,Exclusive,5.19,9.67
64,9,ANI-00064,Poster Collection 0064,Poster,Limited,14.73,36.67
65,26,ANI-00065,Figure Collection 0065,Figure,Standard,56.86,79.55
66,43,ANI-00066,Blu-ray Collection 0066,Blu-ray,Exclusive,10.34,22.25
67,60,ANI-00067,Apparel Collection 0067,Apparel,Limited,10.18,23.26
68,77,ANI-00068,Accessory Collection 0068,Accessory,Standard,78.88,176.48
69,94,ANI-00069,Poster Collection 0069,Poster,Exclusive,81.96,128.92
70,111,ANI-00070,Figure Collection 0070,Figure,Limited,41.32,89.78
71,128,ANI-00071,Blu-ray Collection 0071,Blu-ray,Standard,13.57,26.38
72,145,ANI-00072,Apparel Collection 0072,Apparel,Exclusive,2.55,6.01
73,162,ANI-00073,Accessory Collection 0073,Accessory,Limited,50.02,82.14
74,179,ANI-00074,Poster Collection 0074,Poster,Standard,24.91,63.57
75,196,ANI-00075,Figure Collection 0075,Figure,Exclusive,10.68,25.37
76,213,ANI-00076,Blu-ray Collection 0076,Blu-ray,Limited,28.88,69.38
77,230,ANI-00077,Apparel Collection 0077,Apparel,Standard,38.28,60.14
78,247,ANI-00078,Accessory Collection 0078,Accessory,Exclusive,43.99,88.13
79,264,ANI-00079,Poster Collection 0079,Poster,Limited,59.52,142.28
80,,ANI-00080,Figure Collection 0080,Figure,Standard,45.35,73.06
81,298,ANI-00081,Blu-ray Collection 0081,Blu-ray,Exclusive,51.23,84.62
82,315,ANI-00082,Apparel Collection 0082,Apparel,Limited,81.38,141.38
83,332,ANI-00083,Accessory Collection 0083,Accessory,Standard,66.46,171.58
84,349,ANI-00084,Poster Collection 0084,Poster,Exclusive,89.58,210.76
85,6,ANI-00085,Figure Collection 0085,Figure,Limited,11.45,26.11
86,23,ANI-00086,Blu-ray Collection 0086,Blu-ray,Standard,34.5,85.4
87,40,ANI-00087,Apparel Collection 0087,Apparel,Exclusive,70.85,108.66
88,57,ANI-00088,Accessory Collection 0088,Accessory,Limited,87.55,132.95
89,74,ANI-00089,Poster Collection 0089,Poster,Standard,37.56,87.48
90,91,ANI-00090,Figure Collection 0090,Figure,Exclusive,72.96,130.63
91,108,ANI-00091,Blu-ray Collection 0091,Blu-ray,Limited,27.17,64.71
92,125,ANI-00092,Apparel Collection 0092,Apparel,Standard,56.03,104.52
93,142,ANI-00093,Accessory Collection 0093,Accessory,Exclusive,61.45,142.92
94,159,ANI-00094,Poster Collection 0094,Poster,Limited,26.74,68.55
95,176,ANI-00095,Figure Collection 0095,Figure,Standard,75.0,185.88
96,193,ANI-00096,Blu-ray Collection 0096,Blu-ray,Exclusive,25.39,44.64
97,210,ANI-00097,Apparel Collection 0097,Apparel,Limited,36.28,70.07
98,227,ANI-00098,Accessory Collection 0098,Accessory,Standard,27.33,38.61
99,244,ANI-00099,Poster Collection 0099,Poster,Exclusive,7.63,14.59
100,,ANI-00100,Figure Collection 0100,Figure,Limited,39.87,89.78
101,278,ANI-00101,Blu-ray Collection 0101,Blu-ray,Standard,20.57,36.55
102,295,ANI-00102,Apparel Collection 0102,Apparel,Exclusive,14.76,30.72
103,312,ANI-00103,Accessory Collection 0103,Accessory,Limited,28.68,46.16
104,329,ANI-00104,Poster Collection 0104,Poster,Standard,17.42,40.88
105,346,ANI-00105,Figure Collection 0105,Figure,Exclusive,6.26,10.07
106,3,ANI-00106,Blu-ray Collection 0106,Blu-ray,Limited,50.8,80.09
107,20,ANI-00107,Apparel Collection 0107,Apparel,Standard,20.42,30.66
108,37,ANI-00108,Accessory Collection 0108,Accessory,Exclusive,80.24,161.8
109,54,ANI-00109,Poster Collection 0109,Poster,Limited,14.55,37.52
110,71,ANI-00110,Figure Collection 0110,Figure,Standard,86.73,221.15
111,88,ANI-00111,Blu-ray Collection 0111,Blu-ray,Exclusive,58.5,85.2
112,105,ANI-00112,Apparel Collection 0112,Apparel,Limited,6.18,10.83
113,122,ANI-00113,Accessory Collection 0113,Accessory,Standard,42.33,77.5
114,139,ANI-00114,Poster Collection 0114,Poster,Exclusive,64.5,132.36
115,156,ANI-00115,Figure Collection 0115,Figure,Limited,87.75,128.49
116,173,ANI-00116,Blu-ray Collection 0116,Blu-ray,Standard,84.57,184.36
117,190,ANI-00117,Apparel Collection 0117,Apparel,Exclusive,66.22,148.41
118,207,ANI-00118,Accessory Collection 0118,Accessory,Limited,31.2,51.0
119,224,ANI-00119,Poster Collection 0119,Poster,Standard,10.01,18.09
120,,ANI-00120,Figure Collection 0120,Figure,Exclusive,36.15,83.97
121,258,ANI-00121,Blu-ray Collection 0121,Blu-ray,Limited,50.08,76.17
122,275,ANI-00122,Apparel Collection 0122,Apparel,Standard,31.58,82.03
123,292,ANI-00123,Accessory Collection 0123,Accessory,Exclusive,23.73,34.68
124,309,ANI-00124,Poster Collection 0124,Poster,Limited,8.34,15.98
125,326,ANI-00125,Figure Collection 0125,Figure,Standard,12.71,30.52
126,343,ANI-00126,Blu-ray Collection 0126,Blu-ray,Exclusive,57.19,132.25
127,360,ANI-00127,Apparel Collection 0127,Apparel,Limited,79.7,185.66
128,17,ANI-00128,Accessory Collection 0128,Accessory,Standard,39.81,92.33
129,34,ANI-00129,Poster Collection 0129,Poster,Exclusive,86.35,165.51
130,51,ANI-00130,Figure Collection 0130,Figure,Limited,58.43,121.05
131,68,ANI-00131,Blu-ray Collection 0131,Blu-ray,Standard,70.37,150.42
132,85,ANI-00132,Apparel Collection 0132,Apparel,Exclusive,62.43,101.64
133,102,ANI-00133,Accessory Collection 0133,Accessory,Limited,28.34,57.55
134,119,ANI-00134,Poster Collection 0134,Poster,Standard,38.0,58.64
135,136,ANI-00135,Figure Collection 0135,Figure,Exclusive,77.18,199.65
136,153,ANI-00136,Blu-ray Collection 0136,Blu-ray,Limited,19.09,35.62
137,170,ANI-00137,Apparel Collection 0137,Apparel,Standard,11.97,27.17
138,187,ANI-00138,Accessory Collection 0138,Accessory,Exclusive,89.01,223.31
139,204,ANI-00139,Poster Collection 0139,Poster,Limited,13.27,30.77
140,,ANI-00140,Figure Collection 0140,Figure,Standard,10.14,22.7
141,238,ANI-00141,Blu-ray Collection 0141,Blu-ray,Exclusive,49.9,85.8
142,255,ANI-00142,Apparel Collection 0142,Apparel,Limited,23.56,37.43
143,272,ANI-00143,Accessory Collection 0143,Accessory,Standard,24.86,37.19
144,289,ANI-00144,Poster Collection 0144,Poster,Exclusive,87.98,147.22
145,306,ANI-00145,Figure Collection 0145,Figure,Limited,51.07,96.35
146,323,ANI-00146,Blu-ray Collection 0146,Blu-ray,Standard,26.13,41.78
147,340,ANI-00147,Apparel Collection 0147,Apparel,Exclusive,62.1,152.89
148,357,ANI-00148,Accessory Collection 0148,Accessory,Limited,31.19,51.29
149,14,ANI-00149,Poster Collection 0149,Poster,Standard,8.38,17.55
150,31,ANI-00150,Figure Collection 0150,Figure,Exclusive,9.09,19.56
151,48,ANI-00151,Blu-ray Collection 0151,Blu-ray,Limited,38.13,60.69
152,65,ANI-00152,Apparel Collection 0152,Apparel,Standard,88.96,213.65
153,82,ANI-00153,Accessory Collection 0153,Accessory,Exclusive,40.93,91.96
154,99,ANI-00154,Poster Collection 0154,Poster,Limited,87.24,127.33
155,116,ANI-00155,Figure Collection 0155,Figure,Standard,33.91,70.79
156,133,ANI-00156,Blu-ray Collection 0156,Blu-ray,Exclusive,50.63,77.51
157,150,ANI-00157,Apparel Collection 0157,Apparel,Limited,42.94,72.89
158,167,ANI-00158,Accessory Collection 0158,Accessory,Standard,41.24,86.92
159,184,ANI-00159,Poster Collection 0159,Poster,Exclusive,16.39,29.79
160,,ANI-00160,Figure Collection 0160,Figure,Limited,23.46,36.52
161,218,ANI-00161,Blu-ray Collection 0161,Blu-ray,Standard,58.25,126.59
162,235,ANI-00162,Apparel Collection 0162,Apparel,Exclusive,87.95,225.37
163,252,ANI-00163,Accessory Collection 0163,Accessory,Limited,88.11,166.02
164,269,ANI-00164,Poster Collection 0164,Poster,Standard,63.83,118.74
165,286,ANI-00165,Figure Collection 0165,Figure,Exclusive,80.86,123.33
166,303,ANI-00166,Blu-ray Collection 0166,Blu-ray,Limited,81.79,113.66
167,320,ANI-00167,Apparel Collection 0167,Apparel,Standard,53.94,96.15
168,337,ANI-00168,Accessory Collection 0168,Accessory,Exclusive,31.11,43.7
169,354,ANI-00169,Poster Collection 0169,Poster,Limited,74.49,116.68
170,11,ANI-00170,Figure Collection 0170,Figure,Standard,26.16,39.73
171,28,ANI-00171,Blu-ray Collection 0171,Blu-ray,Exclusive,87.81,186.06
172,45,ANI-00172,Apparel Collection 0172,Apparel,Limited,15.31,24.19
173,62,ANI-00173,Accessory Collection 0173,Accessory,Standard,12.84,31.83
174,79,ANI-00174,Poster Collection 0174,Poster,Exclusive,76.16,115.29
175,96,ANI-00175,Figure Collection 0175,Figure,Limited,63.2,117.71
176,113,ANI-00176,Blu-ray Collection 0176,Blu-ray,Standard,26.03,46.87
177,130,ANI-00177,Apparel Collection 0177,Apparel,Exclusive,87.06,129.78
178,147,ANI-00178,Accessory Collection 0178,Accessory,Limited,49.54,103.72
179,164,ANI-00179,Poster Collection 0179,Poster,Standard,46.89,102.18
180,,ANI-00180,Figure Collection 0180,Figure,Exclusive,64.99,144.5
181,198,ANI-00181,Blu-ray Collection 0181,Blu-ray,Limited,60.93,104.48
182,215,ANI-00182,Apparel Collection 0182,Apparel,Standard,31.38,46.28
183,232,ANI-00183,Accessory Collection 0183,Accessory,Exclusive,39.06,97.86
184,249,ANI-00184,Poster Collection 0184,Poster,Limited,62.64,96.14
185,266,ANI-00185,Figure Collection 0185,Figure,Standard,70.72,102.92
186,283,ANI-00186,Blu-ray Collection 0186,Blu-ray,Exclusive,69.41,113.06
187,300,ANI-00187,Apparel Collection 0187,Apparel,Limited,58.56,83.92
188,317,ANI-00188,Accessory Collection 0188,Accessory,Standard,60.2,93.34
189,334,ANI-00189,Poster Collection 0189,Poster,Exclusive,53.67,87.05
190,351,ANI-00190,Figure Collection 0190,Figure,Limited,35.47,81.6
191,8,ANI-00191,Blu-ray Collection 0191,Blu-ray,Standard,32.3,70.53
192,25,ANI-00192,Apparel Collection 0192,Apparel,Exclusive,43.54,90.35
193,42,ANI-00193,Accessory Collection 0193,Accessory,Limited,54.93,121.7
194,59,ANI-00194,Poster Collection 0194,Poster,Standard,73.0,180.45
195,76,ANI-00195,Figure Collection 0195,Figure,Exclusive,41.94,98.16
196,93,ANI-00196,Blu-ray Collection 0196,Blu-ray,Limited,49.34,75.35
197,110,ANI-00197,Apparel Collection 0197,Apparel,Standard,47.42,84.43
198,127,ANI-00198,Accessory Collection 0198,Accessory,Exclusive,58.21,86.82
199,144,ANI-00199,Poster Collection 0199,Poster,Limited,44.71,92.0
200,,ANI-00200,Figure Collection 0200,Figure,Standard,48.98,80.24
201,178,ANI-00201,Blu-ray Collection 0201,Blu-ray,Exclusive,63.35,142.57
202,195,ANI-00202,Apparel Collection 0202,Apparel,Limited,41.21,65.55
203,212,ANI-00203,Accessory Collection 0203,Accessory,Standard,80.23,194.9
204,229,ANI-00204,Poster Collection 0204,Poster,Exclusive,28.8,70.36
205,246,ANI-00205,Figure Collection 0205,Figure,Limited,66.39,153.76
206,263,ANI-00206,Blu-ray Collection 0206,Blu-ray,Standard,37.11,85.82
207,280,ANI-00207,Apparel Collection 0207,Apparel,Exclusive,53.4,100.51
208,297,ANI-00208,Accessory Collection 0208,Accessory,Limited,60.92,125.4
209,314,ANI-00209,Poster Collection 0209,Poster,Standard,17.13,23.93
210,331,ANI-00210,Figure Collection 0210,Figure,Exclusive,29.51,62.08
211,348,ANI-00211,Blu-ray Collection 0211,Blu-ray,Limited,42.44,104.09
212,5,ANI-00212,Apparel Collection 0212,Apparel,Standard,6.17,12.36
213,22,ANI-00213,Accessory Collection 0213,Accessory,Exclusive,4.55,7.19
214,39,ANI-00214,Poster Collection 0214,Poster,Limited,53.77,81.1
215,56,ANI-00215,Figure Collection 0215,Figure,Standard,52.02,86.72
216,73,ANI-00216,Blu-ray Collection 0216,Blu-ray,Exclusive,68.9,110.15
217,90,ANI-00217,Apparel Collection 0217,Apparel,Limited,49.37,102.61
218,107,ANI-00218,Accessory Collection 0218,Accessory,Standard,14.35,20.95
219,124,ANI-00219,Poster Collection 0219,Poster,Exclusive,79.31,177.6
220,,ANI-00220,Figure Collection 0220,Figure,Limited,87.2,210.89
221,158,ANI-00221,Blu-ray Collection 0221,Blu-ray,Standard,29.24,50.98
222,175,ANI-00222,Apparel Collection 0222,Apparel,Exclusive,67.67,121.95
223,192,ANI-00223,Accessory Collection 0223,Accessory,Limited,38.16,83.62
224,209,ANI-00224,Poster Collection 0224,Poster,Standard,56.66,128.85
225,226,ANI-00225,Figure Collection 0225,Figure,Exclusive,64.84,144.21
226,243,ANI-00226,Blu-ray Collection 0226,Blu-ray,Limited,54.44,90.43
227,260,ANI-00227,Apparel Collection 0227,Apparel,Standard,88.87,186.72
228,277,ANI-00228,Accessory Collection 0228,Accessory,Exclusive,28.24,47.58
229,294,ANI-00229,Poster Collection 0229,Poster,Limited,52.05,75.32
230,311,ANI-00230,Figure Collection 0230,Figure,Standard,24.35,62.24
231,328,ANI-00231,Blu-ray Collection 0231,Blu-ray,Exclusive,39.18,61.39
232,345,ANI-00232,Apparel Collection 0232,Apparel,Limited,44.23,80.19
233,2,ANI-00233,Accessory Collection 0233,Accessory,Standard,39.4,88.29
234,19,ANI-00234,Poster Collection 0234,Poster,Exclusive,61.78,143.0
235,36,ANI-00235,Figure Collection 0235,Figure,Limited,62.64,146.98
236,53,ANI-00236,Blu-ray Collection 0236,Blu-ray,Standard,3.3,5.26
237,70,ANI-00237,Apparel Collection 0237,Apparel,Exclusive,55.01,102.87
238,87,ANI-00238,Accessory Collection 0238,Accessory,Limited,29.75,60.72
239,104,ANI-00239,Poster Collection 0239,Poster,Standard,27.68,67.88
240,,ANI-00240,Figure Collection 0240,Figure,Exclusive,17.11,37.47
241,138,ANI-00241,Blu-ray Collection 0241,Blu-ray,Limited,57.3,98.2
242,155,ANI-00242,Apparel Collection 0242,Apparel,Standard,41.49,91.12
243,172,ANI-00243,Accessory Collection 0243,Accessory,Exclusive,29.42,48.83
244,189,ANI-00244,Poster Collection 0244,Poster,Limited,67.02,118.35
245,206,ANI-00245,Figure Collection 0245,Figure,Standard,6.28,9.46
246,223,ANI-00246,Blu-ray Collection 0246,Blu-ray,Exclusive,64.82,135.17
247,240,ANI-00247,Apparel Collection 0247,Apparel,Limited,24.43,48.57
248,257,ANI-00248,Accessory Collection 0248,Accessory,Standard,60.06,128.03
249,274,ANI-00249,Poster Collection 0249,Poster,Exclusive,70.79,142.53
250,291,ANI-00250,Figure Collection 0250,Figure,Limited,23.8,40.87
251,308,ANI-00251,Blu-ray Collection 0251,Blu-ray,Standard,11.46,15.75
252,325,ANI-00252,Apparel Collection 0252,Apparel,Exclusive,50.78,74.0
253,342,ANI-00253,Accessory Collection 0253,Accessory,Limited,53.92,92.02
254,359,ANI-00254,Poster Collection 0254,Poster,Standard,85.87,220.7
255,16,ANI-00255,Figure Collection 0255,Figure,Exclusive,68.9,112.8
256,33,ANI-00256,Blu-ray Collection 0256,Blu-ray,Limited,50.5,98.43
257,50,ANI-00257,Apparel Collection 0257,Apparel,Standard,42.54,88.0
258,67,ANI-00258,Accessory Collection 0258,Accessory,Exclusive,2.56,3.99
259,84,ANI-00259,Poster Collection 0259,Poster,Limited,68.05,167.92
260,,ANI-00260,Figure Collection 0260,Figure,Standard,80.52,173.74
261,118,ANI-00261,Blu-ray Collection 0261,Blu-ray,Exclusive,9.13,15.75
262,135,ANI-00262,Apparel Collection 0262,Apparel,Limited,32.03,70.57
263,152,ANI-00263,Accessory Collection 0263,Accessory,Standard,44.73,110.4
264,169,ANI-00264,Poster Collection 0264,Poster,Exclusive,63.43,94.45
265,186,ANI-00265,Figure Collection 0265,Figure,Limited,80.85,134.7
266,203,ANI-00266,Blu-ray Collection 0266,Blu-ray,Standard,34.94,61.95
267,220,ANI-00267,Apparel Collection 0267,Apparel,Exclusive,68.72,152.52
268,237,ANI-00268,Accessory Collection 0268,Accessory,Limited,21.3,40.62
269,254,ANI-00269,Poster Collection 0269,Poster,Standard,87.77,225.78
270,271,ANI-00270,Figure Collection 0270,Figure,Exclusive,21.04,31.06
271,288,ANI-00271,Blu-ray Collection 0271,Blu-ray,Limited,51.16,77.48
272,305,ANI-00272,Apparel Collection 0272,Apparel,Standard,62.55,102.3
273,322,ANI-00273,Accessory Collection 0273,Accessory,Exclusive,72.14,172.13
274,339,ANI-00274,Poster Collection 0274,Poster,Limited,55.54,86.9
275,356,ANI-00275,Figure Collection 0275,Figure,Standard,5.38,9.44
276,13,ANI-00276,Blu-ray Collection 0276,Blu-ray,Exclusive,89.72,218.72
277,30,ANI-00277,Apparel Collection 0277,Apparel,Limited,52.01,93.17
278,47,ANI-00278,Accessory Collection 0278,Accessory,Standard,52.92,97.91
279,64,ANI-00279,Poster Collection 0279,Poster,Exclusive,35.87,52.14
280,,ANI-00280,Figure Collection 0280,Figure,Limited,38.13,52.45
281,98,ANI-00281,Blu-ray Collection 0281,Blu-ray,Standard,63.97,121.76
282,115,ANI-00282,Apparel Collection 0282,Apparel,Exclusive,54.37,89.13
283,132,ANI-00283,Accessory Collection 0283,Accessory,Limited,52.99,117.21
284,149,ANI-00284,Poster Collection 0284,Poster,Standard,37.41,74.67
285,166,ANI-00285,Figure Collection 0285,Figure,Exclusive,88.16,181.31
286,183,ANI-00286,Blu-ray Collection 0286,Blu-ray,Limited,32.8,82.73
287,200,ANI-00287,Apparel Collection 0287,Apparel,Standard,23.09,51.32
288,217,ANI-00288,Accessory Collection 0288,Accessory,Exclusive,83.35,175.89
289,234,ANI-00289,Poster Collection 0289,Poster,Limited,65.65,161.94
290,251,ANI-00290,Figure Collection 0290,Figure,Standard,81.55,193.77
291,268,ANI-00291,Blu-ray Collection 0291,Blu-ray,Exclusive,40.66,59.2
292,285,ANI-00292,Apparel Collection 0292,Apparel,Limited,69.79,131.23
293,302,ANI-00293,Accessory Collection 0293,Accessory,Standard,52.76,115.59
294,319,ANI-00294,Poster Collection 0294,Poster,Exclusive,88.77,120.93
295,336,ANI-00295,Figure Collection 0295,Figure,Limited,86.74,152.66
296,353,ANI-00296,Blu-ray Collection 0296,Blu-ray,Standard,28.45,49.52
297,10,ANI-00297,Apparel Collection 0297,Apparel,Exclusive,17.93,32.24
298,27,ANI-00298,Accessory Collection 0298,Accessory,Limited,19.06,40.69
299,44,ANI-00299,Poster Collection 0299,Poster,Standard,4.95,9.97
300,,ANI-00300,Figure Collection 0300,Figure,Exclusive,57.61,111.75
301,78,ANI-00301,Blu-ray Collection 0301,Blu-ray,Limited,43.96,85.63
302,95,ANI-00302,Apparel Collection 0302,Apparel,Standard,68.57,117.36
303,112,ANI-00303,Accessory Collection 0303,Accessory,Exclusive,36.45,52.15
304,129,ANI-00304,Poster Collection 0304,Poster,Limited,79.78,135.54
305,146,ANI-00305,Figure Collection 0305,Figure,Standard,48.95,88.16
306,163,ANI-00306,Blu-ray Collection 0306,Blu-ray,Exclusive,81.91,113.21
307,180,ANI-00307,Apparel Collection 0307,Apparel,Limited,45.89,62.52
308,197,ANI-00308,Accessory Collection 0308,Accessory,Standard,66.98,148.9
309,214,ANI-00309,Poster Collection 0309,Poster,Exclusive,30.84,56.92
310,231,ANI-00310,Figure Collection 0310,Figure,Limited,71.71,166.58
311,248,ANI-00311,Blu-ray Collection 0311,Blu-ray,Standard,86.83,161.93
312,265,ANI-00312,Apparel Collection 0312,Apparel,Exclusive,62.02,129.94
313,282,ANI-00313,Accessory Collection 0313,Accessory,Limited,72.61,100.59
314,299,ANI-00314,Poster Collection 0314,Poster,Standard,29.67,53.71
315,316,ANI-00315,Figure Collection 0315,Figure,Exclusive,28.54,73.47
316,333,ANI-00316,Blu-ray Collection 0316,Blu-ray,Limited,42.47,97.37
317,350,ANI-00317,Apparel Collection 0317,Apparel,Standard,29.26,66.7
318,7,ANI-00318,Accessory Collection 0318,Accessory,Exclusive,44.64,96.96
319,24,ANI-00319,Poster Collection 0319,Poster,Limited,27.0,66.65
320,,ANI-00320,Figure Collection 0320,Figure,Standard,75.53,133.57
321,58,ANI-00321,Blu-ray Collection 0321,Blu-ray,Exclusive,35.92,88.62
322,75,ANI-00322,Apparel Collection 0322,Apparel,Limited,18.97,31.69
323,92,ANI-00323,Accessory Collection 0323,Accessory,Standard,77.2,111.7
324,109,ANI-00324,Poster Collection 0324,Poster,Exclusive,80.55,170.43
325,126,ANI-00325,Figure Collection 0325,Figure,Limited,52.49,103.07
326,143,ANI-00326,Blu-ray Collection 0326,Blu-ray,Standard,68.66,100.44
327,160,ANI-00327,Apparel Collection 0327,Apparel,Exclusive,11.76,28.65
328,177,ANI-00328,Accessory Collection 0328,Accessory,Limited,17.37,34.02
329,194,ANI-00329,Poster Collection 0329,Poster,Standard,41.4,72.06
330,211,ANI-00330,Figure Collection 0330,Figure,Exclusive,47.24,89.87
331,228,ANI-00331,Blu-ray Collection 0331,Blu-ray,Limited,76.53,169.5
332,245,ANI-00332,Apparel Collection 0332,Apparel,Standard,24.35,42.28
333,262,ANI-00333,Accessory Collection 0333,Accessory,Exclusive,57.92,129.09
334,279,ANI-00334,Poster Collection 0334,Poster,Limited,75.47,167.87
335,296,ANI-00335,Figure Collection 0335,Figure,Standard,12.1,23.78
336,313,ANI-00336,Blu-ray Collection 0336,Blu-ray,Exclusive,63.42,91.64
337,330,ANI-00337,Apparel Collection 0337,Apparel,Limited,30.57,68.63
338,347,ANI-00338,Accessory Collection 0338,Accessory,Standard,21.27,50.74
339,4,ANI-00339,Poster Collection 0339,Poster,Exclusive,78.2,141.46
340,,ANI-00340,Figure Collection 0340,Figure,Limited,47.43,117.21
341,38,ANI-00341,Blu-ray Collection 0341,Blu-ray,Standard,67.33,153.37
342,55,ANI-00342,Apparel Collection 0342,Apparel,Exclusive,79.88,173.87
343,72,ANI-00343,Accessory Collection 0343,Accessory,Limited,48.65,86.07
344,89,ANI-00344,Poster Collection 0344,Poster,Standard,43.34,59.29
345,106,ANI-00345,Figure Collection 0345,Figure,Exclusive,4.58,11.1
346,123,ANI-00346,Blu-ray Collection 0346,Blu-ray,Limited,82.88,170.33
347,140,ANI-00347,Apparel Collection 0347,Apparel,Standard,30.13,56.23
348,157,ANI-00348,Accessory Collection 0348,Accessory,Exclusive,79.47,168.46
349,174,ANI-00349,Poster Collection 0349,Poster,Limited,75.85,196.55
350,191,ANI-00350,Figure Collection 0350,Figure,Standard,10.49,18.21
351,208,ANI-00351,Blu-ray Collection 0351,Blu-ray,Exclusive,24.0,48.73
