impression_id,user_id,anime_id,watch_session_id,impression_date_key,ad_format,advertiser_industry,placement,completed_flag,clicked_flag,revenue_usd
163,2773,51,6684,20250624,Mid-roll,Retail,Home Feed,1,0,0.0473
164,3618,197,6725,20250713,Pre-roll,Food,Player,1,0,0.0179
165,1758,22,6766,20250801,Sponsored Card,Gaming,Anime Detail,1,0,0.0116
166,2235,90,6807,20250820,Display,Entertainment,Search,1,0,0.0527
167,2916,125,6848,20250908,Mid-roll,Technology,Home Feed,1,0,0.0419
168,1390,211,6889,20250927,Pre-roll,Retail,Player,1,0,0.0597
169,2511,83,6930,20251016,Sponsored Card,Food,Anime Detail,1,0,0.0392
170,,218,6971,20251104,Display,Gaming,Search,1,0,0.0238
171,575,172,,20251123,Mid-roll,Entertainment,Home Feed,1,0,0.0083
172,5401,184,7053,20251212,Pre-roll,Technology,Player,1,0,0.0493
173,2493,313,7094,20251231,Sponsored Card,Retail,Anime Detail,1,0,0.0717
174,4849,322,7135,20230119,Display,Food,Search,1,0,0.0074
175,1455,139,7176,20230207,Mid-roll,Gaming,Home Feed,1,0,0.0039
176,37,134,7217,20230226,Pre-roll,Entertainment,Player,1,0,0.0373
177,2181,40,7258,20230317,Sponsored Card,Technology,Anime Detail,0,0,0.0743
178,4791,303,7299,20230405,Display,Retail,Search,1,0,0.0335
179,2393,107,7340,20230424,Mid-roll,Food,Home Feed,1,0,0.054
180,5707,181,,20230513,Pre-roll,Gaming,Player,1,0,0.0088
181,181,140,7422,20230601,Sponsored Card,Entertainment,Anime Detail,0,0,0.068
182,4,26,7463,20230620,Display,Technology,Search,1,0,0.06
183,5895,125,7504,20230709,Mid-roll,Retail,Home Feed,1,0,0.0796
184,633,93,7545,20230728,Pre-roll,Food,Player,1,0,0.0232
185,2794,107,7586,20230816,Sponsored Card,Gaming,Anime Detail,1,0,0.0509
186,3552,139,7627,20230904,Display,Entertainment,Search,1,0,0.0319
187,,132,7668,20230923,Mid-roll,Technology,Home Feed,1,0,0.0254
188,4522,299,7709,20231012,Pre-roll,Retail,Player,0,0,0.0721
189,172,190,,20231031,Sponsored Card,Food,Anime Detail,1,0,0.0703
190,733,98,7791,20231119,Display,Gaming,Search,1,0,0.0601
191,2721,22,7832,20231208,Mid-roll,Entertainment,Home Feed,1,0,0.005
192,3934,106,7873,20231227,Pre-roll,Technology,Player,0,0,0.0819
193,5920,174,7914,20240115,Sponsored Card,Retail,Anime Detail,0,0,0.0402
194,2046,343,7955,20240203,Display,Food,Search,1,0,0.0276
195,1182,305,7996,20240222,Mid-roll,Gaming,Home Feed,0,0,0.0201
196,2426,350,8037,20240312,Pre-roll,Entertainment,Player,1,0,0.0343
197,3656,269,8078,20240331,Sponsored Card,Technology,Anime Detail,0,0,0.0475
198,4744,199,,20240419,Display,Retail,Search,1,0,0.0293
199,5520,44,8160,20240508,Mid-roll,Food,Home Feed,0,0,0.0245
200,1178,271,8201,20240527,Pre-roll,Gaming,Player,0,0,0.008
201,5678,252,8242,20240615,Sponsored Card,Entertainment,Anime Detail,1,0,0.0242
202,2532,284,8283,20240704,Display,Technology,Search,1,0,0.0613
203,4317,198,8324,20240723,Mid-roll,Retail,Home Feed,0,0,0.0065
204,,166,8365,20240811,Pre-roll,Food,Player,1,0,0.0584
205,366,30,8406,20240830,Sponsored Card,Gaming,Anime Detail,1,0,0.058
206,5021,282,8447,20240918,Display,Entertainment,Search,1,0,0.0445
207,541,208,,20241007,Mid-roll,Technology,Home Feed,0,0,0.079
208,1756,164,8529,20241026,Pre-roll,Retail,Player,0,0,0.0831
209,650,282,8570,20241114,Sponsored Card,Food,Anime Detail,1,0,0.0239
210,4601,283,8611,20241203,Display,Gaming,Search,1,0,0.0759
211,2736,342,8652,20241222,Mid-roll,Entertainment,Home Feed,0,0,0.0215
212,1119,322,8693,20250110,Pre-roll,Technology,Player,1,0,0.0204
213,677,307,8734,20250129,Sponsored Card,Retail,Anime Detail,1,0,0.0484
214,5677,181,8775,20250217,Display,Food,Search,1,0,0.0837
215,3298,94,8816,20250308,Mid-roll,Gaming,Home Feed,1,0,0.0686
216,2018,217,,20250327,Pre-roll,Entertainment,Player,1,0,0.0294
217,4748,119,8898,20250415,Sponsored Card,Technology,Anime Detail,1,0,0.0699
218,2360,34,8939,20250504,Display,Retail,Search,1,0,0.0577
219,3532,159,8980,20250523,Mid-roll,Food,Home Feed,1,0,0.0569
220,3726,156,9021,20250611,Pre-roll,Gaming,Player,0,0,0.0112
221,,306,9062,20250630,Sponsored Card,Entertainment,Anime Detail,1,0,0.0439
222,1433,168,9103,20250719,Display,Technology,Search,1,0,0.07
223,1617,209,9144,20250807,Mid-roll,Retail,Home Feed,1,0,0.0574
224,658,29,9185,20250826,Pre-roll,Food,Player,1,0,0.0736
225,5415,226,,20250914,Sponsored Card,Gaming,Anime Detail,1,0,0.067
226,302,183,9267,20251003,Display,Entertainment,Search,1,1,0.0115
227,4333,358,9308,20251022,Mid-roll,Technology,Home Feed,1,0,0.0681
228,854,115,9349,20251110,Pre-roll,Retail,Player,1,0,0.0318
229,873,169,9390,20251129,Sponsored Card,Food,Anime Detail,0,0,0.0819
230,1117,104,9431,20251218,Display,Gaming,Search,1,0,0.009
231,4378,293,9472,20230106,Mid-roll,Entertainment,Home Feed,1,0,0.0598
232,4830,90,9513,20230125,Pre-roll,Technology,Player,1,0,0.0617
233,281,360,9554,20230213,Sponsored Card,Retail,Anime Detail,0,0,0.0394
234,1887,235,,20230304,Display,Food,Search,1,0,0.0023
235,5072,14,9636,20230323,Mid-roll,Gaming,Home Feed,1,0,0.0614
236,2141,240,9677,20230411,Pre-roll,Entertainment,Player,1,0,0.0743
237,5963,168,9718,20230430,Sponsored Card,Technology,Anime Detail,1,0,0.024
238,,334,9759,20230519,Display,Retail,Search,1,1,0.0775
239,175,30,9800,20230607,Mid-roll,Food,Home Feed,1,0,0.0025
240,976,214,9841,20230626,Pre-roll,Gaming,Player,1,0,0.0735
241,5876,296,9882,20230715,Sponsored Card,Entertainment,Anime Detail,1,0,0.0306
242,5685,345,9923,20230803,Display,Technology,Search,1,0,0.0057
243,3055,244,,20230822,Mid-roll,Retail,Home Feed,0,0,0.0617
244,2311,251,10005,20230910,Pre-roll,Food,Player,0,0,0.0121
245,1859,53,10046,20230929,Sponsored Card,Gaming,Anime Detail,1,0,0.0026
246,5756,50,10087,20231018,Display,Entertainment,Search,1,0,0.0075
247,3789,247,10128,20231106,Mid-roll,Technology,Home Feed,1,0,0.0117
248,3904,18,10169,20231125,Pre-roll,Retail,Player,1,0,0.0219
249,4553,149,10210,20231214,Sponsored Card,Food,Anime Detail,1,0,0.0434
250,2004,301,10251,20240102,Display,Gaming,Search,1,0,0.0633
251,4890,55,10292,20240121,Mid-roll,Entertainment,Home Feed,0,0,0.0064
252,4911,253,,20240209,Pre-roll,Technology,Player,0,0,0.0584
253,4880,27,10374,20240228,Sponsored Card,Retail,Anime Detail,1,0,0.0411
254,3835,211,10415,20240318,Display,Food,Search,1,0,0.0634
255,,150,10456,20240406,Mid-roll,Gaming,Home Feed,1,0,0.0281
256,3045,316,10497,20240425,Pre-roll,Entertainment,Player,0,0,0.0296
257,1636,203,10538,20240514,Sponsored Card,Technology,Anime Detail,1,0,0.0404
258,4069,335,10579,20240602,Display,Retail,Search,1,0,0.0351
259,3761,314,10620,20240621,Mid-roll,Food,Home Feed,1,1,0.0487
260,3433,210,10661,20240710,Pre-roll,Gaming,Player,1,0,0.0569
261,2610,262,,20240729,Sponsored Card,Entertainment,Anime Detail,0,0,0.0104
262,397,246,10743,20240817,Display,Technology,Search,1,0,0.0767
263,2114,204,10784,20240905,Mid-roll,Retail,Home Feed,0,0,0.0494
264,662,341,10825,20240924,Pre-roll,Food,Player,0,0,0.0249
265,788,318,10866,20241013,Sponsored Card,Gaming,Anime Detail,1,0,0.0488
266,2894,190,10907,20241101,Display,Entertainment,Search,1,0,0.0473
267,4123,3,10948,20241120,Mid-roll,Technology,Home Feed,0,0,0.0568
268,1753,81,10989,20241209,Pre-roll,Retail,Player,1,0,0.0271
269,1767,241,11030,20241228,Sponsored Card,Food,Anime Detail,1,0,0.0089
270,1383,271,,20250116,Display,Gaming,Search,1,0,0.0782
271,1257,56,11112,20250204,Mid-roll,Entertainment,Home Feed,1,1,0.0486
272,,116,11153,20250223,Pre-roll,Technology,Player,1,0,0.0343
273,2830,281,11194,20250314,Sponsored Card,Retail,Anime Detail,1,0,0.0624
274,541,320,11235,20250402,Display,Food,Search,1,0,0.0294
275,2635,108,11276,20250421,Mid-roll,Gaming,Home Feed,1,0,0.0719
276,505,125,11317,20250510,Pre-roll,Entertainment,Player,1,0,0.0331
277,5718,48,11358,20250529,Sponsored Card,Technology,Anime Detail,1,0,0.0726
278,1058,34,11399,20250617,Display,Retail,Search,1,0,0.0686
279,5574,280,,20250706,Mid-roll,Food,Home Feed,0,0,0.0245
280,3373,26,11481,20250725,Pre-roll,Gaming,Player,1,0,0.0615
281,5741,199,11522,20250813,Sponsored Card,Entertainment,Anime Detail,1,0,0.0068
282,4801,71,11563,20250901,Display,Technology,Search,1,0,0.0539
283,5244,148,11604,20250920,Mid-roll,Retail,Home Feed,1,0,0.029
284,3573,258,11645,20251009,Pre-roll,Food,Player,1,0,0.0319
285,1794,120,11686,20251028,Sponsored Card,Gaming,Anime Detail,1,0,0.0238
286,5585,32,11727,20251116,Display,Entertainment,Search,1,0,0.0743
287,2475,343,11768,20251205,Mid-roll,Technology,Home Feed,0,0,0.005
288,1272,289,,20251224,Pre-roll,Retail,Player,1,0,0.01
289,,321,11850,20230112,Sponsored Card,Food,Anime Detail,1,0,0.0811
290,3518,282,11891,20230131,Display,Gaming,Search,1,0,0.0608
291,2781,260,11932,20230219,Mid-roll,Entertainment,Home Feed,1,0,0.022
292,2432,337,11973,20230310,Pre-roll,Technology,Player,1,0,0.0114
293,4267,129,12014,20230329,Sponsored Card,Retail,Anime Detail,1,0,0.027
294,1156,19,12055,20230417,Display,Food,Search,1,0,0.0137
295,2859,41,12096,20230506,Mid-roll,Gaming,Home Feed,1,0,0.0652
296,595,108,12137,20230525,Pre-roll,Entertainment,Player,1,0,0.043
297,313,298,,20230613,Sponsored Card,Technology,Anime Detail,1,0,0.024
298,1586,147,12219,20230702,Display,Retail,Search,1,0,0.063
299,5847,98,12260,20230721,Mid-roll,Food,Home Feed,0,0,0.0157
300,2693,271,12301,20230809,Pre-roll,Gaming,Player,1,0,0.0537
301,3089,148,12342,20230828,Sponsored Card,Entertainment,Anime Detail,1,0,0.0448
302,370,300,12383,20230916,Display,Technology,Search,1,0,0.0576
303,4896,9,12424,20231005,Mid-roll,Retail,Home Feed,1,1,0.0387
304,1902,35,12465,20231024,Pre-roll,Food,Player,1,0,0.0839
305,2957,121,12506,20231112,Sponsored Card,Gaming,Anime Detail,1,0,0.0023
306,,307,,20231201,Display,Entertainment,Search,1,0,0.0298
307,2903,13,12588,20231220,Mid-roll,Technology,Home Feed,1,1,0.0059
308,781,97,12629,20240108,Pre-roll,Retail,Player,1,0,0.0301
309,4038,152,12670,20240127,Sponsored Card,Food,Anime Detail,1,0,0.0252
310,5523,331,12711,20240215,Display,Gaming,Search,1,0,0.0115
311,1510,192,12752,20240305,Mid-roll,Entertainment,Home Feed,1,0,0.0281
312,3850,326,12793,20240324,Pre-roll,Technology,Player,1,0,0.0488
313,4876,165,12834,20240412,Sponsored Card,Retail,Anime Detail,1,0,0.0663
314,1922,121,12875,20240501,Display,Food,Search,1,0,0.0713
315,673,316,,20240520,Mid-roll,Gaming,Home Feed,1,0,0.0114
316,2020,31,12957,20240608,Pre-roll,Entertainment,Player,0,0,0.031
317,3290,268,12998,20240627,Sponsored Card,Technology,Anime Detail,0,0,0.0127
318,3847,343,13039,20240716,Display,Retail,Search,1,0,0.0356
319,2568,273,13080,20240804,Mid-roll,Food,Home Feed,1,0,0.0108
320,4699,194,13121,20240823,Pre-roll,Gaming,Player,0,0,0.0043
321,350,226,13162,20240911,Sponsored Card,Entertainment,Anime Detail,1,0,0.0263
322,5738,45,13203,20240930,Display,Technology,Search,1,0,0.0333
323,,21,13244,20241019,Mid-roll,Retail,Home Feed,1,0,0.0791
324,3464,325,,20241107,Pre-roll,Food,Player,0,0,0.0834
325,4607,133,13326,20241126,Sponsored Card,Gaming,Anime Detail,0,0,0.0755
326,5822,355,13367,20241215,Display,Entertainment,Search,1,0,0.0823
327,1513,184,13408,20250103,Mid-roll,Technology,Home Feed,0,0,0.0173
328,5342,175,13449,20250122,Pre-roll,Retail,Player,0,0,0.0306
329,2287,125,13490,20250210,Sponsored Card,Food,Anime Detail,0,0,0.0325
330,4653,72,13531,20250301,Display,Gaming,Search,1,0,0.017
331,2380,121,13572,20250320,Mid-roll,Entertainment,Home Feed,1,0,0.0698
332,1897,83,13613,20250408,Pre-roll,Technology,Player,0,0,0.0175
333,3046,334,,20250427,Sponsored Card,Retail,Anime Detail,1,0,0.0527
334,1230,40,13695,20250516,Display,Food,Search,1,0,0.0689
335,2676,312,13736,20250604,Mid-roll,Gaming,Home Feed,1,0,0.0349
336,2585,280,13777,20250623,Pre-roll,Entertainment,Player,1,0,0.0489
337,4502,5,13818,20250712,Sponsored Card,Technology,Anime Detail,1,1,0.0571
338,3833,294,13859,20250731,Display,Retail,Search,1,0,0.0389
339,2430,250,13900,20250819,Mid-roll,Food,Home Feed,0,0,0.067
340,,182,13941,20250907,Pre-roll,Gaming,Player,0,0,0.0736
341,253,240,13982,20250926,Sponsored Card,Entertainment,Anime Detail,1,0,0.0681
342,290,343,,20251015,Display,Technology,Search,1,0,0.0745
343,2115,325,14064,20251103,Mid-roll,Retail,Home Feed,0,0,0.061
344,728,75,14105,20251122,Pre-roll,Food,Player,1,0,0.011
345,2227,189,14146,20251211,Sponsored Card,Gaming,Anime Detail,1,0,0.0605
346,1889,27,14187,20251230,Display,Entertainment,Search,1,0,0.0576
347,4409,90,14228,20230118,Mid-roll,Technology,Home Feed,0,0,0.0364
348,220,240,14269,20230206,Pre-roll,Retail,Player,1,0,0.0603
349,3748,344,14310,20230225,Sponsored Card,Food,Anime Detail,0,0,0.0313
350,2600,23,14351,20230316,Display,Gaming,Search,1,0,0.0347
351,322,352,,20230404,Mid-roll,Entertainment,Home Feed,1,0,0.0398
352,1002,261,14433,20230423,Pre-roll,Technology,Player,0,0,0.0629
353,5289,260,14474,20230512,Sponsored Card,Retail,Anime Detail,0,0,0.0261
354,1592,14,14515,20230531,Display,Food,Search,1,0,0.0364
355,3983,18,14556,20230619,Mid-roll,Gaming,Home Feed,0,0,0.0637
356,3159,160,14597,20230708,Pre-roll,Entertainment,Player,0,0,0.0603
357,,243,14638,20230727,Sponsored Card,Technology,Anime Detail,1,0,0.0052
358,2733,296,14679,20230815,Display,Retail,Search,1,0,0.0428
359,2320,153,14720,20230903,Mid-roll,Food,Home Feed,1,0,0.0475
360,1329,1,,20230922,Pre-roll,Gaming,Player,1,0,0.0409
361,2088,41,14802,20231011,Sponsored Card,Entertainment,Anime Detail,1,1,0.0384
362,2526,338,14843,20231030,Display,Technology,Search,1,0,0.0306
363,5818,329,14884,20231118,Mid-roll,Retail,Home Feed,1,0,0.0097
364,1009,302,14925,20231207,Pre-roll,Food,Player,1,0,0.046
365,3572,288,14966,20231226,Sponsored Card,Gaming,Anime Detail,1,0,0.0636
366,4717,157,15007,20240114,Display,Entertainment,Search,1,0,0.073
367,5215,171,15048,20240202,Mid-roll,Technology,Home Feed,0,0,0.0727
